# REMINDER: You agreed to access this file under the terms of use described at http://hdl.handle.net/11529/10548142.,,,,,,,
# NOTICE: If you did not access this file from Dataverse at (http://hdl.handle.net/11529/10548142) you are not authorized to use or re-distribute any of the file contents. Please go to the site to access license terms and agree for access rights.,,,,,,,
,SampleID,value,phenotype,tester,year,locale,trialElv
1,SEEDGWAS1,1.1632,Anthesis silking interval,242913,2012A,Agua Fria,120.4
2,SEEDGWAS1,2.254,Anthesis silking interval,242913,2012A,Iguala,100.9
3,SEEDGWAS1,0.7567,Anthesis silking interval,242913,2012A,Agua Fria,120.4
4,SEEDGWAS1,0.5398,Anthesis silking interval,242913,2012B,Guadalupe-Victoria,96.8
5,SEEDGWAS1,-0.632,Anthesis silking interval,242913,2011B,Agua Fria,120.4
6,SEEDGWAS1,4.9836,Anthesis silking interval,242913,2011B,Torreon,22.1
7,SEEDGWAS10,0.9405,Anthesis silking interval,242913,2012B,Agua Fria,120.4
8,SEEDGWAS10,2.2231,Anthesis silking interval,242913,2012A,Iguala,100.9
9,SEEDGWAS10,-0.3493,Anthesis silking interval,242913,2012A,Agua Fria,120.4
10,SEEDGWAS10,1.2326,Anthesis silking interval,242913,2012A,Agua Fria,120.4
11,SEEDGWAS10,-0.2438,Anthesis silking interval,242913,2011B,Agua Fria,120.4
12,SEEDGWAS10,3.7701,Anthesis silking interval,242913,2011B,Torreon,22.1
13,SEEDGWAS10,0.9354,Anthesis silking interval,242913,2012B,Guadalupe-Victoria,96.8
14,SEEDGWAS1003,1.0329,Anthesis silking interval,242916,2012A,Agua Fria,120.4
15,SEEDGWAS1003,2.7755,Anthesis silking interval,242916,2012B,Ciudad Obregon,70.35
16,SEEDGWAS1003,0.8471,Anthesis silking interval,242916,2012A,Agua Fria,120.4
17,SEEDGWAS1003,0.1561,Anthesis silking interval,242916,2011B,Agua Fria,120.4
18,SEEDGWAS1003,2.4217,Anthesis silking interval,242916,2012A,Iguala,100.9
19,SEEDGWAS1004,2.2848,Anthesis silking interval,242913,2012A,Iguala,100.9
20,SEEDGWAS1004,1.0613,Anthesis silking interval,242913,2012B,Guadalupe-Victoria,96.8
21,SEEDGWAS1004,-0.3553,Anthesis silking interval,242913,2011B,Agua Fria,120.4
22,SEEDGWAS1004,0.313,Anthesis silking interval,242913,2011B,San Pedro Lagunillas,105.4
23,SEEDGWAS1006,0.0081,Anthesis silking interval,242916,2011B,Agua Fria,120.4
24,SEEDGWAS1006,0.8473,Anthesis silking interval,242916,2012A,Agua Fria,120.4
25,SEEDGWAS1006,2.5336,Anthesis silking interval,242916,2012A,Iguala,100.9
26,SEEDGWAS1006,0.7973,Anthesis silking interval,242916,2012A,Agua Fria,120.4
27,SEEDGWAS1006,3.1795,Anthesis silking interval,242916,2011B,Torreon,22.1
28,SEEDGWAS1006,2.85,Anthesis silking interval,242916,2012B,Ciudad Obregon,70.35
29,SEEDGWAS1007,1.0182,Anthesis silking interval,242913,2012B,Guadalupe-Victoria,96.8
30,SEEDGWAS1007,-0.6588,Anthesis silking interval,242913,2011B,Agua Fria,120.4
31,SEEDGWAS1007,-0.4058,Anthesis silking interval,242913,2011B,San Pedro Lagunillas,105.4
