# REMINDER: You agreed to access this file under the terms of use described at http://hdl.handle.net/11529/10548142.,,,,,,,
# NOTICE: If you did not access this file from Dataverse at (http://hdl.handle.net/11529/10548142) you are not authorized to use or re-distribute any of the file contents. Please go to the site to access license terms and agree for access rights.,,,,,,,
,SampleID,value,phenotype,tester,year,locale,trialElv
1,SEEDGWAS1,1.1632,Anthesis silking interval,242913,2012A,Agua Fria,24.2
2,SEEDGWAS1,2.254,Anthesis silking interval,242913,2012A,Iguala,25.7
3,SEEDGWAS1,0.7567,Anthesis silking interval,242913,2012A,Agua Fria,24.2
4,SEEDGWAS1,0.5398,Anthesis silking interval,242913,2012B,Guadalupe-Victoria,24.2
5,SEEDGWAS1,-0.632,Anthesis silking interval,242913,2011B,Agua Fria,24.2
6,SEEDGWAS1,4.9836,Anthesis silking interval,242913,2011B,Torreon,21.3
7,SEEDGWAS10,0.9405,Anthesis silking interval,242913,2012B,Agua Fria,24.2
8,SEEDGWAS10,2.2231,Anthesis silking interval,242913,2012A,Iguala,25.7
9,SEEDGWAS10,-0.3493,Anthesis silking interval,242913,2012A,Agua Fria,24.2
10,SEEDGWAS10,1.2326,Anthesis silking interval,242913,2012A,Agua Fria,24.2
11,SEEDGWAS10,-0.2438,Anthesis silking interval,242913,2011B,Agua Fria,24.2
12,SEEDGWAS10,3.7701,Anthesis silking interval,242913,2011B,Torreon,21.3
13,SEEDGWAS10,0.9354,Anthesis silking interval,242913,2012B,Guadalupe-Victoria,24.2
14,SEEDGWAS1003,1.0329,Anthesis silking interval,242916,2012A,Agua Fria,24.2
15,SEEDGWAS1003,2.7755,Anthesis silking interval,242916,2012B,Ciudad Obregon,23.05
16,SEEDGWAS1003,0.8471,Anthesis silking interval,242916,2012A,Agua Fria,24.2
17,SEEDGWAS1003,0.1561,Anthesis silking interval,242916,2011B,Agua Fria,24.2
18,SEEDGWAS1003,2.4217,Anthesis silking interval,242916,2012A,Iguala,25.7
19,SEEDGWAS1004,2.2848,Anthesis silking interval,242913,2012A,Iguala,25.7
20,SEEDGWAS1004,1.0613,Anthesis silking interval,242913,2012B,Guadalupe-Victoria,24.2
21,SEEDGWAS1004,-0.3553,Anthesis silking interval,242913,2011B,Agua Fria,24.2
22,SEEDGWAS1004,0.313,Anthesis silking interval,242913,2011B,San Pedro Lagunillas,19.3
23,SEEDGWAS1006,0.0081,Anthesis silking interval,242916,2011B,Agua Fria,24.2
24,SEEDGWAS1006,0.8473,Anthesis silking interval,242916,2012A,Agua Fria,24.2
25,SEEDGWAS1006,2.5336,Anthesis silking interval,242916,2012A,Iguala,25.7
26,SEEDGWAS1006,0.7973,Anthesis silking interval,242916,2012A,Agua Fria,24.2
27,SEEDGWAS1006,3.1795,Anthesis silking interval,242916,2011B,Torreon,21.3
28,SEEDGWAS1006,2.85,Anthesis silking interval,242916,2012B,Ciudad Obregon,23.05
29,SEEDGWAS1007,1.0182,Anthesis silking interval,242913,2012B,Guadalupe-Victoria,24.2
30,SEEDGWAS1007,-0.6588,Anthesis silking interval,242913,2011B,Agua Fria,24.2
31,SEEDGWAS1007,-0.4058,Anthesis silking interval,242913,2011B,San Pedro Lagunillas,19.3
32,SEEDGWAS1007,2.2171,Anthesis silking interval,242913,2012A,Iguala,25.7
33,SEEDGWAS1008,2.3949,Anthesis silking interval,242916,2012A,Iguala,25.7
34,SEEDGWAS1008,0.8829,Anthesis silking interval,242916,2012A,Agua Fria,24.2
35,SEEDGWAS1008,-0.1875,Anthesis silking interval,242916,2011B,San Pedro Lagunillas,19.3
36,SEEDGWAS1008,6.8298,Anthesis silking interval,242916,2012A,Ciudad Obregon,23.05
37,SEEDGWAS1008,-0.2201,Anthesis silking interval,242916,2011B,Agua Fria,24.2
38,SEEDGWAS1008,0.9242,Anthesis silking interval,242916,2012A,Agua Fria,24.2
39,SEEDGWAS1009,2.5079,Anthesis silking interval,242916,2012A,Iguala,25.7
40,SEEDGWAS1009,-0.0998,Anthesis silking interval,242916,2011B,Agua Fria,24.2
41,SEEDGWAS1009,1.2038,Anthesis silking interval,242916,2012A,Agua Fria,24.2
42,SEEDGWAS1009,1.8417,Anthesis silking interval,242916,2012A,Agua Fria,24.2
43,SEEDGWAS1009,2.7746,Anthesis silking interval,242916,2012B,Ciudad Obregon,23.05
44,SEEDGWAS101,7.3455,Anthesis silking interval,242913,2011B,Torreon,21.3
45,SEEDGWAS101,-0.7172,Anthesis silking interval,242913,2011B,San Pedro Lagunillas,19.3
46,SEEDGWAS101,0.6201,Anthesis silking interval,242913,2012A,Agua Fria,24.2
47,SEEDGWAS101,0.4289,Anthesis silking interval,242913,2011B,Agua Fria,24.2
48,SEEDGWAS101,2.242,Anthesis silking interval,242913,2012A,Iguala,25.7
49,SEEDGWAS101,5.2773,Anthesis silking interval,242913,2012A,Ciudad Obregon,23.05
50,SEEDGWAS101,0.9453,Anthesis silking interval,242913,2012A,Agua Fria,24.2
51,SEEDGWAS1011,0.3665,Anthesis silking interval,242913,2012A,Agua Fria,24.2
52,SEEDGWAS1011,1.0125,Anthesis silking interval,242913,2012B,Guadalupe-Victoria,24.2
53,SEEDGWAS1011,-0.8598,Anthesis silking interval,242913,2011B,Agua Fria,24.2
54,SEEDGWAS1011,0.4003,Anthesis silking interval,242913,2012A,Agua Fria,24.2
55,SEEDGWAS1011,2.2548,Anthesis silking interval,242913,2012A,Iguala,25.7
56,SEEDGWAS1011,5.3199,Anthesis silking interval,242913,2012A,Ciudad Obregon,23.05
