# REMINDER: You agreed to access this file under the terms of use described at http://hdl.handle.net/11529/10548142.,,,,,,,
# NOTICE: If you did not access this file from Dataverse at (http://hdl.handle.net/11529/10548142) you are not authorized to use or re-distribute any of the file contents. Please go to the site to access license terms and agree for access rights.,,,,,,,
,SampleID,value,phenotype,tester,year,locale,trialElv
1,SEEDGWAS1,107.7333,Bare cob weight,242913,2011B,Agua Fria,13.6
2,SEEDGWAS1,265.1534,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
3,SEEDGWAS10,326.6177,Bare cob weight,242913,2011B,Guadalupe-Victoria,49.2
4,SEEDGWAS10,239.0264,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
5,SEEDGWAS10,149.5623,Bare cob weight,242913,2011B,Agua Fria,13.6
6,SEEDGWAS1003,222.7099,Bare cob weight,242916,2012B,Ciudad Obregon,42.96666667
7,SEEDGWAS1003,93.8487,Bare cob weight,242916,2011B,Agua Fria,13.6
8,SEEDGWAS1004,106.5464,Bare cob weight,242913,2011B,Agua Fria,13.6
9,SEEDGWAS1004,292.429,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
10,SEEDGWAS1006,94.7118,Bare cob weight,242916,2011B,Agua Fria,13.6
11,SEEDGWAS1006,229.6506,Bare cob weight,242916,2012B,Ciudad Obregon,42.96666667
12,SEEDGWAS1007,146.4321,Bare cob weight,242913,2011B,Guadalupe-Victoria,49.2
13,SEEDGWAS1007,95.4965,Bare cob weight,242913,2011B,Agua Fria,13.6
14,SEEDGWAS1007,262.5662,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
15,SEEDGWAS1008,95.4649,Bare cob weight,242916,2011B,Agua Fria,13.6
16,SEEDGWAS1008,407.3404,Bare cob weight,242916,2012A,Ciudad Obregon,42.96666667
17,SEEDGWAS1009,90.534,Bare cob weight,242916,2011B,Agua Fria,13.6
18,SEEDGWAS1009,193.237,Bare cob weight,242916,2011B,Guadalupe-Victoria,49.2
19,SEEDGWAS1009,243.7355,Bare cob weight,242916,2012B,Ciudad Obregon,42.96666667
20,SEEDGWAS101,441.9766,Bare cob weight,242913,2012A,Ciudad Obregon,42.96666667
21,SEEDGWAS101,314.7266,Bare cob weight,242913,2011B,Guadalupe-Victoria,49.2
22,SEEDGWAS101,136.4795,Bare cob weight,242913,2011B,Agua Fria,13.6
23,SEEDGWAS1011,367.5932,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
24,SEEDGWAS1011,114.6056,Bare cob weight,242913,2011B,Agua Fria,13.6
25,SEEDGWAS1011,304.0302,Bare cob weight,242913,2011B,Guadalupe-Victoria,49.2
26,SEEDGWAS1011,701.8826,Bare cob weight,242913,2012A,Ciudad Obregon,42.96666667
27,SEEDGWAS1012,295.8474,Bare cob weight,242916,2012B,Guadalupe-Victoria,49.2
28,SEEDGWAS1012,476.5711,Bare cob weight,242916,2012A,Ciudad Obregon,42.96666667
29,SEEDGWAS1012,90.5617,Bare cob weight,242916,2011B,Agua Fria,13.6
30,SEEDGWAS1012,226.0416,Bare cob weight,242916,2011B,Guadalupe-Victoria,49.2
31,SEEDGWAS1015,244.2809,Bare cob weight,242916,2012B,Ciudad Obregon,42.96666667
32,SEEDGWAS1015,99.8949,Bare cob weight,242916,2011B,Agua Fria,13.6
33,SEEDGWAS1019,191.006,Bare cob weight,242916,2012B,Ciudad Obregon,42.96666667
34,SEEDGWAS1019,82.1145,Bare cob weight,242916,2011B,Agua Fria,13.6
35,SEEDGWAS1020,245.0226,Bare cob weight,242916,2012B,Ciudad Obregon,42.96666667
36,SEEDGWAS1020,110.9156,Bare cob weight,242916,2011B,Agua Fria,13.6
37,SEEDGWAS1022,223.6305,Bare cob weight,242913,2011B,Guadalupe-Victoria,49.2
38,SEEDGWAS1023,184.5436,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
39,SEEDGWAS1023,113.0727,Bare cob weight,242914,2011B,Agua Fria,13.6
40,SEEDGWAS1024,159.517,Bare cob weight,242914,2011B,Guadalupe-Victoria,49.2
41,SEEDGWAS1024,176.8328,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
42,SEEDGWAS1024,286.3122,Bare cob weight,242914,2012B,Guadalupe-Victoria,49.2
43,SEEDGWAS1024,82.2431,Bare cob weight,242914,2011B,Agua Fria,13.6
44,SEEDGWAS1025,101.3118,Bare cob weight,242914,2011B,Agua Fria,13.6
45,SEEDGWAS1025,212.4892,Bare cob weight,242914,2011B,Guadalupe-Victoria,49.2
46,SEEDGWAS1025,203.8606,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
47,SEEDGWAS1026,133.2013,Bare cob weight,242913,2011B,Agua Fria,13.6
48,SEEDGWAS1027,113.3523,Bare cob weight,242913,2011B,Agua Fria,13.6
49,SEEDGWAS1027,708.2507,Bare cob weight,242913,2012A,Ciudad Obregon,42.96666667
50,SEEDGWAS1029,224.8277,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
51,SEEDGWAS1029,89.3689,Bare cob weight,242913,2011B,Agua Fria,13.6
52,SEEDGWAS103,87.8565,Bare cob weight,242919,2011B,Agua Fria,13.6
53,SEEDGWAS1031,193.2401,Bare cob weight,242914,2011B,Celaya,177
54,SEEDGWAS1031,146.7914,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
55,SEEDGWAS1031,102.2945,Bare cob weight,242914,2011B,Agua Fria,13.6
56,SEEDGWAS1032,253.7263,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
57,SEEDGWAS1032,336.5522,Bare cob weight,242913,2012A,Ciudad Obregon,42.96666667
58,SEEDGWAS1032,112.4403,Bare cob weight,242913,2011B,Agua Fria,13.6
59,SEEDGWAS1032,167.6779,Bare cob weight,242913,2011B,Guadalupe-Victoria,49.2
60,SEEDGWAS1033,84.7883,Bare cob weight,242916,2011B,Agua Fria,13.6
61,SEEDGWAS1033,320.1901,Bare cob weight,242916,2012B,Guadalupe-Victoria,49.2
62,SEEDGWAS1033,281.5546,Bare cob weight,242916,2011B,Guadalupe-Victoria,49.2
63,SEEDGWAS1034,331.4057,Bare cob weight,242916,2012B,Guadalupe-Victoria,49.2
64,SEEDGWAS1034,332.2937,Bare cob weight,242916,2011B,Guadalupe-Victoria,49.2
65,SEEDGWAS1034,121.1746,Bare cob weight,242916,2011B,Agua Fria,13.6
66,SEEDGWAS1036,197.0549,Bare cob weight,242914,2011B,Celaya,177
67,SEEDGWAS1036,314.7435,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
68,SEEDGWAS1037,207.3915,Bare cob weight,242914,2011B,Celaya,177
69,SEEDGWAS1037,202.5464,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
70,SEEDGWAS1037,102.9485,Bare cob weight,242914,2011B,Agua Fria,13.6
71,SEEDGWAS1039,228.2588,Bare cob weight,242916,2012B,Ciudad Obregon,42.96666667
72,SEEDGWAS1039,104.7908,Bare cob weight,242916,2011B,Agua Fria,13.6
73,SEEDGWAS104,306.45,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
74,SEEDGWAS104,119.6719,Bare cob weight,242913,2011B,Agua Fria,13.6
75,SEEDGWAS104,298.1603,Bare cob weight,242913,2011B,Guadalupe-Victoria,49.2
76,SEEDGWAS104,502.598,Bare cob weight,242913,2012A,Ciudad Obregon,42.96666667
77,SEEDGWAS1040,196.6391,Bare cob weight,242914,2011B,Celaya,177
78,SEEDGWAS1040,186.4041,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
79,SEEDGWAS1043,508.0375,Bare cob weight,242916,2012A,Ciudad Obregon,42.96666667
80,SEEDGWAS1043,89.0539,Bare cob weight,242916,2011B,Agua Fria,13.6
81,SEEDGWAS1043,324.2403,Bare cob weight,242916,2012B,Guadalupe-Victoria,49.2
82,SEEDGWAS1043,266.5404,Bare cob weight,242916,2011B,Guadalupe-Victoria,49.2
83,SEEDGWAS1044,299.9406,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
84,SEEDGWAS1044,121.2884,Bare cob weight,242913,2011B,Agua Fria,13.6
85,SEEDGWAS1044,298.8157,Bare cob weight,242913,2011B,Guadalupe-Victoria,49.2
86,SEEDGWAS1045,282.2511,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
87,SEEDGWAS1045,97.4314,Bare cob weight,242913,2011B,Agua Fria,13.6
88,SEEDGWAS1048,197.1487,Bare cob weight,242914,2011B,Celaya,177
89,SEEDGWAS1048,213.1442,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
90,SEEDGWAS1048,107.5355,Bare cob weight,242914,2011B,Agua Fria,13.6
91,SEEDGWAS1049,516.742,Bare cob weight,242916,2012A,Ciudad Obregon,42.96666667
92,SEEDGWAS1049,96.3762,Bare cob weight,242916,2011B,Agua Fria,13.6
93,SEEDGWAS105,270.3961,Bare cob weight,242913,2011B,Guadalupe-Victoria,49.2
94,SEEDGWAS105,105.2763,Bare cob weight,242913,2011B,Agua Fria,13.6
95,SEEDGWAS1050,558.2513,Bare cob weight,242919,2012A,Ciudad Obregon,42.96666667
96,SEEDGWAS1050,89.241,Bare cob weight,242919,2011B,Agua Fria,13.6
97,SEEDGWAS1051,144.6259,Bare cob weight,242914,2011B,Agua Fria,13.6
98,SEEDGWAS1051,255.5618,Bare cob weight,242914,2011B,Guadalupe-Victoria,49.2
99,SEEDGWAS1051,216.6651,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
100,SEEDGWAS1053,229.356,Bare cob weight,242914,2012B,Ciudad Obregon,42.96666667
101,SEEDGWAS1053,98.5273,Bare cob weight,242914,2011B,Agua Fria,13.6
102,SEEDGWAS1054,136.4937,Bare cob weight,242913,2011B,Agua Fria,13.6
103,SEEDGWAS1054,324.6528,Bare cob weight,242913,2012B,Guadalupe-Victoria,49.2
104,SEEDGWAS1057,113.5938,Bare cob weight,242914,2011B,Agua Fria,13.6
