# REMINDER: You agreed to access this file under the terms of use described at http://hdl.handle.net/11529/10548142.,,,,,,,
# NOTICE: If you did not access this file from Dataverse at (http://hdl.handle.net/11529/10548142) you are not authorized to use or re-distribute any of the file contents. Please go to the site to access license terms and agree for access rights.,,,,,,,
,SampleID,value,phenotype,tester,year,locale,trialElv
1,SEEDGWAS1,61.8843,Days to anthesis,242913,2012B,Guadalupe-Victoria,49.2
2,SEEDGWAS1,64.3388,Days to anthesis,242913,2011B,Torreon,113.7
3,SEEDGWAS1,52.0505,Days to anthesis,242913,2011B,Agua Fria,13.6
4,SEEDGWAS1,67.5672,Days to anthesis,242913,2012A,Iguala,80
5,SEEDGWAS1,68.8534,Days to anthesis,242913,2012A,Agua Fria,13.6
6,SEEDGWAS1,68.4226,Days to anthesis,242913,2012A,Agua Fria,13.6
7,SEEDGWAS10,68.5105,Days to anthesis,242913,2012A,Iguala,80
8,SEEDGWAS10,60.5285,Days to anthesis,242913,2012B,Agua Fria,13.6
9,SEEDGWAS10,63.89,Days to anthesis,242913,2011B,Torreon,113.7
10,SEEDGWAS10,71.8827,Days to anthesis,242913,2012A,Agua Fria,13.6
11,SEEDGWAS10,51.8175,Days to anthesis,242913,2011B,Agua Fria,13.6
12,SEEDGWAS10,64.6464,Days to anthesis,242913,2012B,Guadalupe-Victoria,49.2
13,SEEDGWAS10,71.5297,Days to anthesis,242913,2012A,Agua Fria,13.6
14,SEEDGWAS1003,66.9557,Days to anthesis,242916,2012A,Agua Fria,13.6
15,SEEDGWAS1003,49.3228,Days to anthesis,242916,2011B,Agua Fria,13.6
16,SEEDGWAS1003,67.1169,Days to anthesis,242916,2012A,Iguala,80
17,SEEDGWAS1003,66.4252,Days to anthesis,242916,2012A,Agua Fria,13.6
18,SEEDGWAS1004,65.0686,Days to anthesis,242913,2012B,Guadalupe-Victoria,49.2
19,SEEDGWAS1004,68.7832,Days to anthesis,242913,2012A,Iguala,80
20,SEEDGWAS1004,68.7508,Days to anthesis,242913,2011B,San Pedro Lagunillas,142.4
21,SEEDGWAS1004,50.9545,Days to anthesis,242913,2011B,Agua Fria,13.6
22,SEEDGWAS1006,49.5017,Days to anthesis,242916,2011B,Agua Fria,13.6
23,SEEDGWAS1006,58.6851,Days to anthesis,242916,2011B,Torreon,113.7
24,SEEDGWAS1006,67.4935,Days to anthesis,242916,2012A,Agua Fria,13.6
25,SEEDGWAS1006,66.6296,Days to anthesis,242916,2012A,Iguala,80
26,SEEDGWAS1006,68.8848,Days to anthesis,242916,2012A,Agua Fria,13.6
27,SEEDGWAS1007,64.168,Days to anthesis,242913,2012B,Guadalupe-Victoria,49.2
28,SEEDGWAS1007,69.0464,Days to anthesis,242913,2012A,Iguala,80
29,SEEDGWAS1007,66.424,Days to anthesis,242913,2011B,San Pedro Lagunillas,142.4
30,SEEDGWAS1007,49.4349,Days to anthesis,242913,2011B,Agua Fria,13.6
31,SEEDGWAS1008,67.817,Days to anthesis,242916,2012A,Agua Fria,13.6
32,SEEDGWAS1008,63.1015,Days to anthesis,242916,2011B,San Pedro Lagunillas,142.4
33,SEEDGWAS1008,50.9798,Days to anthesis,242916,2011B,Agua Fria,13.6
34,SEEDGWAS1008,67.7747,Days to anthesis,242916,2012A,Agua Fria,13.6
35,SEEDGWAS1008,67.3036,Days to anthesis,242916,2012A,Iguala,80
36,SEEDGWAS1009,69.7965,Days to anthesis,242916,2012A,Agua Fria,13.6
37,SEEDGWAS1009,50.4468,Days to anthesis,242916,2011B,Agua Fria,13.6
38,SEEDGWAS1009,67.5176,Days to anthesis,242916,2012A,Iguala,80
39,SEEDGWAS1009,69.0734,Days to anthesis,242916,2012A,Agua Fria,13.6
40,SEEDGWAS101,69.3486,Days to anthesis,242913,2012A,Iguala,80
41,SEEDGWAS101,66.7271,Days to anthesis,242913,2011B,San Pedro Lagunillas,142.4
42,SEEDGWAS101,50.2439,Days to anthesis,242913,2011B,Agua Fria,13.6
43,SEEDGWAS101,63.845,Days to anthesis,242913,2011B,Torreon,113.7
44,SEEDGWAS101,73.0867,Days to anthesis,242913,2012A,Agua Fria,13.6
45,SEEDGWAS101,75.3503,Days to anthesis,242913,2012A,Agua Fria,13.6
46,SEEDGWAS1011,71.038,Days to anthesis,242913,2012A,Agua Fria,13.6
47,SEEDGWAS1011,70.4204,Days to anthesis,242913,2012A,Agua Fria,13.6
48,SEEDGWAS1011,68.7479,Days to anthesis,242913,2012A,Iguala,80
49,SEEDGWAS1011,62.4603,Days to anthesis,242913,2012B,Guadalupe-Victoria,49.2
50,SEEDGWAS1011,65.5763,Days to anthesis,242913,2011B,San Pedro Lagunillas,142.4
51,SEEDGWAS1011,52.2366,Days to anthesis,242913,2011B,Agua Fria,13.6
52,SEEDGWAS1012,50.6009,Days to anthesis,242916,2011B,Agua Fria,13.6
53,SEEDGWAS1012,63.2372,Days to anthesis,242916,2011B,San Pedro Lagunillas,142.4
54,SEEDGWAS1012,67.6587,Days to anthesis,242916,2012A,Iguala,80
55,SEEDGWAS1012,65.8232,Days to anthesis,242916,2012B,Guadalupe-Victoria,49.2
56,SEEDGWAS1012,68.3622,Days to anthesis,242916,2012A,Agua Fria,13.6
57,SEEDGWAS1012,67.7728,Days to anthesis,242916,2012A,Agua Fria,13.6
58,SEEDGWAS1015,70.1164,Days to anthesis,242916,2012A,Agua Fria,13.6
59,SEEDGWAS1015,66.2743,Days to anthesis,242916,2012A,Iguala,80
60,SEEDGWAS1015,64.1885,Days to anthesis,242916,2012A,Agua Fria,13.6
61,SEEDGWAS1015,50.0895,Days to anthesis,242916,2011B,Agua Fria,13.6
62,SEEDGWAS1019,67.0302,Days to anthesis,242916,2012A,Iguala,80
63,SEEDGWAS1019,49.0644,Days to anthesis,242916,2011B,Agua Fria,13.6
64,SEEDGWAS1019,67.8271,Days to anthesis,242916,2012A,Agua Fria,13.6
65,SEEDGWAS1019,66.5928,Days to anthesis,242916,2012A,Agua Fria,13.6
66,SEEDGWAS1020,61.5611,Days to anthesis,242916,2011B,San Pedro Lagunillas,142.4
67,SEEDGWAS1020,67.6706,Days to anthesis,242916,2012A,Iguala,80
68,SEEDGWAS1020,66.7551,Days to anthesis,242916,2012A,Agua Fria,13.6
69,SEEDGWAS1020,66.8512,Days to anthesis,242916,2012A,Agua Fria,13.6
70,SEEDGWAS1020,49.2913,Days to anthesis,242916,2011B,Agua Fria,13.6
71,SEEDGWAS1022,69.8693,Days to anthesis,242913,2012A,Agua Fria,13.6
72,SEEDGWAS1022,72.7367,Days to anthesis,242913,2012A,Agua Fria,13.6
73,SEEDGWAS1022,68.3302,Days to anthesis,242913,2012A,Iguala,80
74,SEEDGWAS1023,69.2078,Days to anthesis,242914,2012A,Agua Fria,13.6
75,SEEDGWAS1023,51.5387,Days to anthesis,242914,2011B,Agua Fria,13.6
76,SEEDGWAS1023,70.081,Days to anthesis,242914,2012A,Agua Fria,13.6
77,SEEDGWAS1023,62.4295,Days to anthesis,242914,2011B,Tlaltizapan,90.5
78,SEEDGWAS1023,59.5482,Days to anthesis,242914,2012B,Agua Fria,13.6
79,SEEDGWAS1024,67.784,Days to anthesis,242914,2012A,Agua Fria,13.6
80,SEEDGWAS1024,69.8231,Days to anthesis,242914,2012A,Iguala,80
81,SEEDGWAS1024,69.8022,Days to anthesis,242914,2012A,Agua Fria,13.6
82,SEEDGWAS1024,50.789,Days to anthesis,242914,2011B,Agua Fria,13.6
83,SEEDGWAS1024,62.8044,Days to anthesis,242914,2012B,Guadalupe-Victoria,49.2
84,SEEDGWAS1025,62.4121,Days to anthesis,242914,2011B,San Pedro Lagunillas,142.4
85,SEEDGWAS1025,69.9258,Days to anthesis,242914,2012A,Agua Fria,13.6
86,SEEDGWAS1025,50.6514,Days to anthesis,242914,2011B,Agua Fria,13.6
87,SEEDGWAS1025,70.4068,Days to anthesis,242914,2012A,Agua Fria,13.6
88,SEEDGWAS1025,69.1178,Days to anthesis,242914,2012A,Iguala,80
89,SEEDGWAS1026,66.1801,Days to anthesis,242913,2012A,Iguala,80
90,SEEDGWAS1026,63.4783,Days to anthesis,242913,2012A,Agua Fria,13.6
91,SEEDGWAS1026,50.4558,Days to anthesis,242913,2011B,Agua Fria,13.6
92,SEEDGWAS1026,64.8919,Days to anthesis,242913,2012A,Agua Fria,13.6
93,SEEDGWAS1026,61.8892,Days to anthesis,242913,2011B,Torreon,113.7
94,SEEDGWAS1027,66.8059,Days to anthesis,242913,2012A,Agua Fria,13.6
95,SEEDGWAS1027,65.9992,Days to anthesis,242913,2012A,Agua Fria,13.6
96,SEEDGWAS1027,63.652,Days to anthesis,242913,2011B,San Pedro Lagunillas,142.4
97,SEEDGWAS1027,68.2892,Days to anthesis,242913,2012A,Iguala,80
98,SEEDGWAS1027,50.2976,Days to anthesis,242913,2011B,Agua Fria,13.6
99,SEEDGWAS1029,62.8033,Days to anthesis,242913,2012A,Agua Fria,13.6
100,SEEDGWAS1029,50.3093,Days to anthesis,242913,2011B,Agua Fria,13.6
101,SEEDGWAS1029,66.4776,Days to anthesis,242913,2012A,Iguala,80
102,SEEDGWAS1029,65.3042,Days to anthesis,242913,2012A,Agua Fria,13.6
103,SEEDGWAS1029,58.7419,Days to anthesis,242913,2012B,Guadalupe-Victoria,49.2
104,SEEDGWAS103,50.6472,Days to anthesis,242919,2011B,Agua Fria,13.6
105,SEEDGWAS103,70.2914,Days to anthesis,242919,2012A,Iguala,80
106,SEEDGWAS103,71.6768,Days to anthesis,242919,2012A,Agua Fria,13.6
107,SEEDGWAS103,71.1078,Days to anthesis,242919,2012A,Agua Fria,13.6
108,SEEDGWAS1031,60.6258,Days to anthesis,242914,2011B,Torreon,113.7
109,SEEDGWAS1031,73.0357,Days to anthesis,242914,2011B,Celaya,177
110,SEEDGWAS1031,71.4175,Days to anthesis,242914,2012A,Agua Fria,13.6
111,SEEDGWAS1031,51.6836,Days to anthesis,242914,2011B,Agua Fria,13.6
112,SEEDGWAS1031,61.9621,Days to anthesis,242914,2011B,Tlaltizapan,90.5
113,SEEDGWAS1031,70.6224,Days to anthesis,242914,2012A,Agua Fria,13.6
114,SEEDGWAS1032,71.6053,Days to anthesis,242913,2012A,Agua Fria,13.6
115,SEEDGWAS1032,64.4491,Days to anthesis,242913,2012B,Guadalupe-Victoria,49.2
116,SEEDGWAS1032,53.9418,Days to anthesis,242913,2011B,Agua Fria,13.6
117,SEEDGWAS1032,66.9671,Days to anthesis,242913,2012A,Iguala,80
