# REMINDER: You agreed to access this file under the terms of use described at http://hdl.handle.net/11529/10548142.,,,,,,,
# NOTICE: If you did not access this file from Dataverse at (http://hdl.handle.net/11529/10548142) you are not authorized to use or re-distribute any of the file contents. Please go to the site to access license terms and agree for access rights.,,,,,,,
,SampleID,value,phenotype,tester,year,locale,trialElv
1,SEEDGWAS1,925.2279,Field weight,242913,2011B,Agua Fria,24.2
2,SEEDGWAS1,2282.0671,Field weight,242913,2012A,Iguala,25.7
3,SEEDGWAS1,1839.5278,Field weight,242913,2011B ,Torreon,21.3
4,SEEDGWAS1,711.7357,Field weight,242913,2012A,Agua Fria,24.2
5,SEEDGWAS1,849.6757,Field weight,242913,2012B,Guadalupe-Victoria,24.2
6,SEEDGWAS10,2535.299,Field weight,242913,2011B,Guadalupe-Victoria,24.2
7,SEEDGWAS10,1117.2852,Field weight,242913,2011B,Agua Fria,24.2
8,SEEDGWAS10,784.6168,Field weight,242913,2012A,Agua Fria,24.2
9,SEEDGWAS10,2282.0671,Field weight,242913,2012A,Iguala,25.7
10,SEEDGWAS10,1833.3415,Field weight,242913,2011B ,Torreon,21.3
11,SEEDGWAS10,612.4784,Field weight,242913,2012B,Guadalupe-Victoria,24.2
12,SEEDGWAS1003,569.4235,Field weight,242916,2012A,Agua Fria,24.2
13,SEEDGWAS1003,813.5938,Field weight,242916,2011B,Agua Fria,24.2
14,SEEDGWAS1003,1800.7173,Field weight,242916,2012A,Iguala,25.7
15,SEEDGWAS1003,925.7111,Field weight,242916,2012B,Ciudad Obregon,23.05
16,SEEDGWAS1004,949.0698,Field weight,242913,2011B,Agua Fria,24.2
17,SEEDGWAS1004,2282.0671,Field weight,242913,2012A,Iguala,25.7
18,SEEDGWAS1004,813.9377,Field weight,242913,2012B,Guadalupe-Victoria,24.2
19,SEEDGWAS1006,1734.3688,Field weight,242916,2011B ,Torreon,21.3
20,SEEDGWAS1006,752.1172,Field weight,242916,2012A,Agua Fria,24.2
21,SEEDGWAS1006,1800.7173,Field weight,242916,2012A,Iguala,25.7
22,SEEDGWAS1006,812.3954,Field weight,242916,2011B,Agua Fria,24.2
23,SEEDGWAS1006,935.541,Field weight,242916,2012B,Ciudad Obregon,23.05
24,SEEDGWAS1007,2282.0671,Field weight,242913,2012A,Iguala,25.7
25,SEEDGWAS1007,1507.6296,Field weight,242913,2011B,Guadalupe-Victoria,24.2
26,SEEDGWAS1007,883.6345,Field weight,242913,2011B,Agua Fria,24.2
27,SEEDGWAS1007,733.6724,Field weight,242913,2012B,Guadalupe-Victoria,24.2
28,SEEDGWAS1008,639.4805,Field weight,242916,2012A,Agua Fria,24.2
29,SEEDGWAS1008,804.9836,Field weight,242916,2011B,Agua Fria,24.2
30,SEEDGWAS1008,1800.7173,Field weight,242916,2012A,Iguala,25.7
31,SEEDGWAS1008,2447.6946,Field weight,242916,2012A,Ciudad Obregon,23.05
32,SEEDGWAS1009,915.2162,Field weight,242916,2012B,Ciudad Obregon,23.05
33,SEEDGWAS1009,1758.1415,Field weight,242916,2011B,Guadalupe-Victoria,24.2
34,SEEDGWAS1009,615.9021,Field weight,242916,2012A,Agua Fria,24.2
35,SEEDGWAS1009,1800.7173,Field weight,242916,2012A,Iguala,25.7
36,SEEDGWAS1009,788.358,Field weight,242916,2011B,Agua Fria,24.2
37,SEEDGWAS101,1076.9714,Field weight,242913,2011B,Agua Fria,24.2
38,SEEDGWAS101,2243.7363,Field weight,242913,2012A,Ciudad Obregon,23.05
39,SEEDGWAS101,845.6374,Field weight,242913,2012A,Agua Fria,24.2
40,SEEDGWAS101,2282.0671,Field weight,242913,2012A,Iguala,25.7
41,SEEDGWAS101,1860.4188,Field weight,242913,2011B ,Torreon,21.3
42,SEEDGWAS101,2509.4305,Field weight,242913,2011B,Guadalupe-Victoria,24.2
43,SEEDGWAS1011,1192.6582,Field weight,242913,2012B,Guadalupe-Victoria,24.2
44,SEEDGWAS1011,2833.9213,Field weight,242913,2011B,Guadalupe-Victoria,24.2
45,SEEDGWAS1011,2945.8647,Field weight,242913,2012A,Ciudad Obregon,23.05
46,SEEDGWAS1011,2282.0671,Field weight,242913,2012A,Iguala,25.7
47,SEEDGWAS1011,981.5049,Field weight,242913,2011B,Agua Fria,24.2
48,SEEDGWAS1011,908.4538,Field weight,242913,2012A,Agua Fria,24.2
49,SEEDGWAS1012,1800.7173,Field weight,242916,2012A,Iguala,25.7
50,SEEDGWAS1012,811.8191,Field weight,242916,2011B,Agua Fria,24.2
51,SEEDGWAS1012,2763.3802,Field weight,242916,2012A,Ciudad Obregon,23.05
52,SEEDGWAS1012,854.0695,Field weight,242916,2012A,Agua Fria,24.2
53,SEEDGWAS1012,2196.6865,Field weight,242916,2011B,Guadalupe-Victoria,24.2
54,SEEDGWAS1012,909.0071,Field weight,242916,2012B,Guadalupe-Victoria,24.2
55,SEEDGWAS1015,528.1443,Field weight,242916,2012A,Agua Fria,24.2
56,SEEDGWAS1015,929.9118,Field weight,242916,2012B,Ciudad Obregon,23.05
57,SEEDGWAS1015,866.0983,Field weight,242916,2011B,Agua Fria,24.2
58,SEEDGWAS1015,1800.7173,Field weight,242916,2012A,Iguala,25.7
59,SEEDGWAS1019,766.8379,Field weight,242916,2012A,Agua Fria,24.2
60,SEEDGWAS1019,920.1792,Field weight,242916,2012B,Ciudad Obregon,23.05
61,SEEDGWAS1019,1800.7173,Field weight,242916,2012A,Iguala,25.7
62,SEEDGWAS1019,842.3436,Field weight,242916,2011B,Agua Fria,24.2
63,SEEDGWAS1020,929.2924,Field weight,242916,2012B,Ciudad Obregon,23.05
64,SEEDGWAS1020,859.9297,Field weight,242916,2011B,Agua Fria,24.2
65,SEEDGWAS1020,632.4916,Field weight,242916,2012A,Agua Fria,24.2
