# REMINDER: You agreed to access this file under the terms of use described at http://hdl.handle.net/11529/10548142.,,,,,,,
# NOTICE: If you did not access this file from Dataverse at (http://hdl.handle.net/11529/10548142) you are not authorized to use or re-distribute any of the file contents. Please go to the site to access license terms and agree for access rights.,,,,,,,
,SampleID,value,phenotype,tester,year,locale,trialElv
1,SEEDGWAS1,6.4594,Grain weight per hectare,242913,2011B ,Torreon,21.3
2,SEEDGWAS1,1.3844,Grain weight per hectare,242913,2012A,Agua Fria,24.2
3,SEEDGWAS1,3.2129,Grain weight per hectare,242913,2012B,Guadalupe-Victoria,24.2
4,SEEDGWAS1,3.5585,Grain weight per hectare,242913,2011B,Agua Fria,24.2
5,SEEDGWAS10,8.7418,Grain weight per hectare,242913,2011B,Guadalupe-Victoria,24.2
6,SEEDGWAS10,6.4083,Grain weight per hectare,242913,2011B ,Torreon,21.3
7,SEEDGWAS10,2.0425,Grain weight per hectare,242913,2012B,Guadalupe-Victoria,24.2
8,SEEDGWAS10,3.9746,Grain weight per hectare,242913,2011B,Agua Fria,24.2
9,SEEDGWAS10,1.4943,Grain weight per hectare,242913,2012A,Agua Fria,24.2
10,SEEDGWAS1003,1.1341,Grain weight per hectare,242916,2012A,Agua Fria,24.2
11,SEEDGWAS1003,3.1482,Grain weight per hectare,242916,2011B,Agua Fria,24.2
12,SEEDGWAS1004,2.7605,Grain weight per hectare,242913,2012B,Guadalupe-Victoria,24.2
13,SEEDGWAS1004,3.6045,Grain weight per hectare,242913,2011B,Agua Fria,24.2
14,SEEDGWAS1006,1.427,Grain weight per hectare,242916,2012A,Agua Fria,24.2
15,SEEDGWAS1006,3.1521,Grain weight per hectare,242916,2011B,Agua Fria,24.2
16,SEEDGWAS1006,6.6544,Grain weight per hectare,242916,2011B ,Torreon,21.3
17,SEEDGWAS1007,4.9931,Grain weight per hectare,242913,2011B,Guadalupe-Victoria,24.2
18,SEEDGWAS1007,3.4775,Grain weight per hectare,242913,2011B,Agua Fria,24.2
19,SEEDGWAS1007,2.6246,Grain weight per hectare,242913,2012B,Guadalupe-Victoria,24.2
20,SEEDGWAS1008,3.0984,Grain weight per hectare,242916,2011B,Agua Fria,24.2
21,SEEDGWAS1008,1.252,Grain weight per hectare,242916,2012A,Agua Fria,24.2
22,SEEDGWAS1009,6.1826,Grain weight per hectare,242916,2011B,Guadalupe-Victoria,24.2
23,SEEDGWAS1009,3.0918,Grain weight per hectare,242916,2011B,Agua Fria,24.2
24,SEEDGWAS1009,1.2282,Grain weight per hectare,242916,2012A,Agua Fria,24.2
25,SEEDGWAS101,6.6247,Grain weight per hectare,242913,2011B ,Torreon,21.3
26,SEEDGWAS101,3.9164,Grain weight per hectare,242913,2011B,Agua Fria,24.2
27,SEEDGWAS101,7.9338,Grain weight per hectare,242913,2011B,Guadalupe-Victoria,24.2
28,SEEDGWAS101,1.5024,Grain weight per hectare,242913,2012A,Agua Fria,24.2
29,SEEDGWAS1011,4.4632,Grain weight per hectare,242913,2012B,Guadalupe-Victoria,24.2
30,SEEDGWAS1011,9.7912,Grain weight per hectare,242913,2011B,Guadalupe-Victoria,24.2
31,SEEDGWAS1011,3.6745,Grain weight per hectare,242913,2011B,Agua Fria,24.2
32,SEEDGWAS1011,1.7977,Grain weight per hectare,242913,2012A,Agua Fria,24.2
33,SEEDGWAS1012,1.7713,Grain weight per hectare,242916,2012A,Agua Fria,24.2
34,SEEDGWAS1012,3.1558,Grain weight per hectare,242916,2011B,Agua Fria,24.2
35,SEEDGWAS1012,7.7476,Grain weight per hectare,242916,2011B,Guadalupe-Victoria,24.2
36,SEEDGWAS1012,3.3136,Grain weight per hectare,242916,2012B,Guadalupe-Victoria,24.2
37,SEEDGWAS1015,3.2863,Grain weight per hectare,242916,2011B,Agua Fria,24.2
38,SEEDGWAS1015,1.0779,Grain weight per hectare,242916,2012A,Agua Fria,24.2
39,SEEDGWAS1019,1.5365,Grain weight per hectare,242916,2012A,Agua Fria,24.2
40,SEEDGWAS1019,3.2451,Grain weight per hectare,242916,2011B,Agua Fria,24.2
41,SEEDGWAS1020,1.2135,Grain weight per hectare,242916,2012A,Agua Fria,24.2
42,SEEDGWAS1020,3.2549,Grain weight per hectare,242916,2011B,Agua Fria,24.2
43,SEEDGWAS1022,6.7935,Grain weight per hectare,242913,2011B,Guadalupe-Victoria,24.2
44,SEEDGWAS1022,1.5331,Grain weight per hectare,242913,2012A,Agua Fria,24.2
45,SEEDGWAS1023,3.7779,Grain weight per hectare,242914,2011B,Agua Fria,24.2
46,SEEDGWAS1023,1.2654,Grain weight per hectare,242914,2012A,Agua Fria,24.2
47,SEEDGWAS1024,3.4592,Grain weight per hectare,242914,2011B,Agua Fria,24.2
