# REMINDER: You agreed to access this file under the terms of use described at http://hdl.handle.net/11529/10548142.,,,,,,,
# NOTICE: If you did not access this file from Dataverse at (http://hdl.handle.net/11529/10548142) you are not authorized to use or re-distribute any of the file contents. Please go to the site to access license terms and agree for access rights.,,,,,,,
,SampleID,value,phenotype,tester,year,locale,trialElv
1,SEEDGWAS1,267.4146,Plant height,242913,2011B,Agua Fria,120.4
2,SEEDGWAS1,264.062,Plant height,242913,2012B,Guadalupe-Victoria,96.8
3,SEEDGWAS1,221.5912,Plant height,242913,2011B ,Torreon,22.1
4,SEEDGWAS1,247.7067,Plant height,242913,2012A,Agua Fria,120.4
5,SEEDGWAS1,240.0648,Plant height,242913,2012A,Iguala,100.9
6,SEEDGWAS10,282.8462,Plant height,242913,2011B,Agua Fria,120.4
7,SEEDGWAS10,258.7067,Plant height,242913,2012A,Iguala,100.9
8,SEEDGWAS10,249.6337,Plant height,242913,2012A,Agua Fria,120.4
9,SEEDGWAS10,351.6306,Plant height,242913,2011B,Guadalupe-Victoria,96.8
10,SEEDGWAS10,274.0668,Plant height,242913,2012B,Guadalupe-Victoria,96.8
11,SEEDGWAS10,239.4505,Plant height,242913,2011B ,Torreon,22.1
12,SEEDGWAS1003,228.8767,Plant height,242916,2012A,Iguala,100.9
13,SEEDGWAS1003,250.0875,Plant height,242916,2011B,Agua Fria,120.4
14,SEEDGWAS1003,241.7601,Plant height,242916,2012A,Agua Fria,120.4
15,SEEDGWAS1004,260.9529,Plant height,242913,2012A,Iguala,100.9
16,SEEDGWAS1004,277.9547,Plant height,242913,2011B,Agua Fria,120.4
17,SEEDGWAS1004,279.463,Plant height,242913,2012B,Guadalupe-Victoria,96.8
18,SEEDGWAS1006,230.9983,Plant height,242916,2012A,Iguala,100.9
19,SEEDGWAS1006,200.656,Plant height,242916,2011B ,Torreon,22.1
20,SEEDGWAS1006,215.6691,Plant height,242916,2012A,Agua Fria,120.4
21,SEEDGWAS1006,294.2028,Plant height,242916,2011B,Agua Fria,120.4
22,SEEDGWAS1007,267.4605,Plant height,242913,2012B,Guadalupe-Victoria,96.8
23,SEEDGWAS1007,250.6479,Plant height,242913,2012A,Iguala,100.9
24,SEEDGWAS1007,348.4663,Plant height,242913,2011B,Guadalupe-Victoria,96.8
25,SEEDGWAS1007,268.3694,Plant height,242913,2011B,Agua Fria,120.4
26,SEEDGWAS1008,245.171,Plant height,242916,2012A,Iguala,100.9
27,SEEDGWAS1008,236.38,Plant height,242916,2012A,Agua Fria,120.4
28,SEEDGWAS1008,243.5393,Plant height,242916,2011B,Agua Fria,120.4
29,SEEDGWAS1009,250.6269,Plant height,242916,2012A,Agua Fria,120.4
30,SEEDGWAS1009,269.5156,Plant height,242916,2011B,Agua Fria,120.4
31,SEEDGWAS1009,232.6076,Plant height,242916,2012A,Iguala,100.9
32,SEEDGWAS1009,332.9125,Plant height,242916,2011B,Guadalupe-Victoria,96.8
33,SEEDGWAS101,259.6091,Plant height,242913,2012A,Iguala,100.9
34,SEEDGWAS101,319.9581,Plant height,242913,2011B,Agua Fria,120.4
35,SEEDGWAS101,248.0798,Plant height,242913,2011B ,Torreon,22.1
36,SEEDGWAS101,301.6701,Plant height,242913,2012A,Agua Fria,120.4
37,SEEDGWAS101,356.2712,Plant height,242913,2011B,Guadalupe-Victoria,96.8
38,SEEDGWAS1011,353.2002,Plant height,242913,2011B,Guadalupe-Victoria,96.8
39,SEEDGWAS1011,250.2062,Plant height,242913,2012A,Iguala,100.9
40,SEEDGWAS1011,281.1699,Plant height,242913,2011B,Agua Fria,120.4
41,SEEDGWAS1011,268.3408,Plant height,242913,2012A,Agua Fria,120.4
42,SEEDGWAS1011,297.0643,Plant height,242913,2012B,Guadalupe-Victoria,96.8
43,SEEDGWAS1012,336.9817,Plant height,242916,2011B,Guadalupe-Victoria,96.8
44,SEEDGWAS1012,264.5523,Plant height,242916,2011B,Agua Fria,120.4
45,SEEDGWAS1012,290.4383,Plant height,242916,2012B,Guadalupe-Victoria,96.8
46,SEEDGWAS1012,238.1668,Plant height,242916,2012A,Iguala,100.9
47,SEEDGWAS1012,233.1477,Plant height,242916,2012A,Agua Fria,120.4
48,SEEDGWAS1015,245.8535,Plant height,242916,2011B,Agua Fria,120.4
49,SEEDGWAS1015,205.8203,Plant height,242916,2012A,Agua Fria,120.4
50,SEEDGWAS1015,221.3498,Plant height,242916,2012A,Iguala,100.9
51,SEEDGWAS1019,243.6598,Plant height,242916,2012A,Agua Fria,120.4
52,SEEDGWAS1019,243.2093,Plant height,242916,2012A,Iguala,100.9
53,SEEDGWAS1019,241.3682,Plant height,242916,2011B,Agua Fria,120.4
54,SEEDGWAS1020,217.7273,Plant height,242916,2012A,Agua Fria,120.4
55,SEEDGWAS1020,259.3125,Plant height,242916,2011B,Agua Fria,120.4
56,SEEDGWAS1020,235.4741,Plant height,242916,2012A,Iguala,100.9
57,SEEDGWAS1022,352.0966,Plant height,242913,2011B,Guadalupe-Victoria,96.8
58,SEEDGWAS1022,257.5614,Plant height,242913,2012A,Iguala,100.9
59,SEEDGWAS1022,280.1495,Plant height,242913,2012A,Agua Fria,120.4
60,SEEDGWAS1023,269.0643,Plant height,242914,2011B,Agua Fria,120.4
61,SEEDGWAS1023,231.3456,Plant height,242914,2012A,Agua Fria,120.4
62,SEEDGWAS1024,260.0464,Plant height,242914,2012A,Iguala,100.9
63,SEEDGWAS1024,270.3437,Plant height,242914,2011B,Agua Fria,120.4
64,SEEDGWAS1024,344.2586,Plant height,242914,2011B,Guadalupe-Victoria,96.8
65,SEEDGWAS1024,274.8943,Plant height,242914,2012B,Guadalupe-Victoria,96.8
66,SEEDGWAS1024,261.4044,Plant height,242914,2012A,Agua Fria,120.4
67,SEEDGWAS1025,241.9683,Plant height,242914,2012A,Agua Fria,120.4
68,SEEDGWAS1025,247.111,Plant height,242914,2012A,Iguala,100.9
69,SEEDGWAS1025,259.4684,Plant height,242914,2011B,Agua Fria,120.4
70,SEEDGWAS1026,274.9543,Plant height,242913,2011B,Agua Fria,120.4
71,SEEDGWAS1026,221.1947,Plant height,242913,2012A,Agua Fria,120.4
72,SEEDGWAS1026,234.243,Plant height,242913,2011B ,Torreon,22.1
73,SEEDGWAS1026,237.1109,Plant height,242913,2012A,Iguala,100.9
74,SEEDGWAS1027,237.8663,Plant height,242913,2011B,Agua Fria,120.4
75,SEEDGWAS1027,247.6825,Plant height,242913,2012A,Agua Fria,120.4
76,SEEDGWAS1027,236.6272,Plant height,242913,2012A,Iguala,100.9
77,SEEDGWAS1029,261.8898,Plant height,242913,2012B,Guadalupe-Victoria,96.8
78,SEEDGWAS1029,242.2992,Plant height,242913,2011B,Agua Fria,120.4
79,SEEDGWAS1029,240.2514,Plant height,242913,2012A,Iguala,100.9
80,SEEDGWAS1029,230.5614,Plant height,242913,2012A,Agua Fria,120.4
81,SEEDGWAS103,243.9575,Plant height,242919,2012A,Iguala,100.9
82,SEEDGWAS103,279.126,Plant height,242919,2011B,Agua Fria,120.4
83,SEEDGWAS103,266.4484,Plant height,242919,2012A,Agua Fria,120.4
84,SEEDGWAS1031,217.6269,Plant height,242914,2012A,Agua Fria,120.4
85,SEEDGWAS1031,259.8143,Plant height,242914,2011B,Celaya,63.3
86,SEEDGWAS1031,274.896,Plant height,242914,2011B,Agua Fria,120.4
87,SEEDGWAS1031,228.8899,Plant height,242914,2011B ,Torreon,22.1
88,SEEDGWAS1032,356.0742,Plant height,242913,2011B,Guadalupe-Victoria,96.8
89,SEEDGWAS1032,292.8331,Plant height,242913,2012B,Guadalupe-Victoria,96.8
90,SEEDGWAS1032,250.863,Plant height,242913,2012A,Iguala,100.9
91,SEEDGWAS1032,258.724,Plant height,242913,2012A,Agua Fria,120.4
92,SEEDGWAS1032,296.2444,Plant height,242913,2011B,Agua Fria,120.4
93,SEEDGWAS1033,224.5361,Plant height,242916,2011B ,Torreon,22.1
94,SEEDGWAS1033,335.2161,Plant height,242916,2011B,Guadalupe-Victoria,96.8
95,SEEDGWAS1033,268.703,Plant height,242916,2012B,Guadalupe-Victoria,96.8
96,SEEDGWAS1033,240.7371,Plant height,242916,2012A,Agua Fria,120.4
97,SEEDGWAS1033,240.1281,Plant height,242916,2011B,Agua Fria,120.4
98,SEEDGWAS1033,246.1718,Plant height,242916,2012A,Iguala,100.9
99,SEEDGWAS1034,260.0574,Plant height,242916,2012A,Iguala,100.9
100,SEEDGWAS1034,314.4055,Plant height,242916,2012B,Guadalupe-Victoria,96.8
101,SEEDGWAS1034,278.4948,Plant height,242916,2012A,Agua Fria,120.4
102,SEEDGWAS1034,345.5866,Plant height,242916,2011B,Guadalupe-Victoria,96.8
103,SEEDGWAS1034,282.8919,Plant height,242916,2011B,Agua Fria,120.4
104,SEEDGWAS1036,237.3221,Plant height,242914,2011B ,Torreon,22.1
105,SEEDGWAS1036,245.293,Plant height,242914,2012A,Agua Fria,120.4
106,SEEDGWAS1036,257.8562,Plant height,242914,2011B,Celaya,63.3
107,SEEDGWAS1037,270.3236,Plant height,242914,2012A,Agua Fria,120.4
108,SEEDGWAS1037,230.2115,Plant height,242914,2011B ,Torreon,22.1
109,SEEDGWAS1037,251.4404,Plant height,242914,2011B,Celaya,63.3
110,SEEDGWAS1037,253.285,Plant height,242914,2011B,Agua Fria,120.4
111,SEEDGWAS1039,250.0776,Plant height,242916,2011B,Agua Fria,120.4
112,SEEDGWAS1039,251.654,Plant height,242916,2012A,Agua Fria,120.4
113,SEEDGWAS1039,249.0749,Plant height,242916,2012A,Iguala,100.9
114,SEEDGWAS104,347.2701,Plant height,242913,2011B,Guadalupe-Victoria,96.8
115,SEEDGWAS104,269.2484,Plant height,242913,2012A,Agua Fria,120.4
116,SEEDGWAS104,240.6113,Plant height,242913,2012A,Iguala,100.9
117,SEEDGWAS104,289.0609,Plant height,242913,2012B,Guadalupe-Victoria,96.8
118,SEEDGWAS104,279.0714,Plant height,242913,2011B,Agua Fria,120.4
119,SEEDGWAS1040,238.0882,Plant height,242914,2012A,Agua Fria,120.4
120,SEEDGWAS1040,214.0859,Plant height,242914,2011B ,Torreon,22.1
121,SEEDGWAS1040,243.313,Plant height,242914,2011B,Celaya,63.3
122,SEEDGWAS1043,246.5372,Plant height,242916,2012A,Iguala,100.9
123,SEEDGWAS1043,278.4027,Plant height,242916,2012B,Guadalupe-Victoria,96.8
124,SEEDGWAS1043,333.3429,Plant height,242916,2011B,Guadalupe-Victoria,96.8
125,SEEDGWAS1043,254.5718,Plant height,242916,2012A,Agua Fria,120.4
126,SEEDGWAS1043,254.5263,Plant height,242916,2011B,Agua Fria,120.4
127,SEEDGWAS1044,265.2366,Plant height,242913,2011B,Agua Fria,120.4
128,SEEDGWAS1044,262.5681,Plant height,242913,2012A,Agua Fria,120.4
129,SEEDGWAS1044,345.3953,Plant height,242913,2011B,Guadalupe-Victoria,96.8
130,SEEDGWAS1044,252.2117,Plant height,242913,2012A,Iguala,100.9
131,SEEDGWAS1044,289.4308,Plant height,242913,2012B,Guadalupe-Victoria,96.8
132,SEEDGWAS1045,268.5232,Plant height,242913,2012B,Guadalupe-Victoria,96.8
133,SEEDGWAS1045,253.9036,Plant height,242913,2011B,Agua Fria,120.4
134,SEEDGWAS1045,238.0054,Plant height,242913,2012A,Iguala,100.9
135,SEEDGWAS1045,244.599,Plant height,242913,2012A,Agua Fria,120.4
136,SEEDGWAS1048,257.9347,Plant height,242914,2011B,Agua Fria,120.4
137,SEEDGWAS1048,245.479,Plant height,242914,2011B,Celaya,63.3
138,SEEDGWAS1048,219.0306,Plant height,242914,2011B ,Torreon,22.1
139,SEEDGWAS1048,240.2023,Plant height,242914,2012A,Agua Fria,120.4
140,SEEDGWAS1049,281.8449,Plant height,242916,2011B,Agua Fria,120.4
141,SEEDGWAS1049,239.366,Plant height,242916,2012A,Agua Fria,120.4
142,SEEDGWAS1049,245.0573,Plant height,242916,2012A,Iguala,100.9
143,SEEDGWAS105,255.4101,Plant height,242913,2012A,Agua Fria,120.4
144,SEEDGWAS105,259.5582,Plant height,242913,2012A,Iguala,100.9
145,SEEDGWAS105,352.2707,Plant height,242913,2011B,Guadalupe-Victoria,96.8
146,SEEDGWAS105,276.5624,Plant height,242913,2011B,Agua Fria,120.4
147,SEEDGWAS1050,297.1871,Plant height,242919,2011B,Agua Fria,120.4
148,SEEDGWAS1050,266.4301,Plant height,242919,2012A,Agua Fria,120.4
149,SEEDGWAS1050,250.5923,Plant height,242919,2012A,Iguala,100.9
150,SEEDGWAS1051,248.4122,Plant height,242914,2012A,Iguala,100.9
151,SEEDGWAS1051,249.442,Plant height,242914,2012A,Agua Fria,120.4
152,SEEDGWAS1051,251.3562,Plant height,242914,2011B,Agua Fria,120.4
153,SEEDGWAS1051,350.6488,Plant height,242914,2011B,Guadalupe-Victoria,96.8
154,SEEDGWAS1053,247.8626,Plant height,242914,2011B,Agua Fria,120.4
155,SEEDGWAS1053,265.7817,Plant height,242914,2012A,Agua Fria,120.4
156,SEEDGWAS1054,287.7081,Plant height,242913,2012B,Guadalupe-Victoria,96.8
157,SEEDGWAS1054,254.3375,Plant height,242913,2012A,Agua Fria,120.4
158,SEEDGWAS1054,251.2907,Plant height,242913,2012A,Iguala,100.9
159,SEEDGWAS1054,276.1511,Plant height,242913,2011B,Agua Fria,120.4
160,SEEDGWAS1057,263.8677,Plant height,242914,2012A,Agua Fria,120.4
161,SEEDGWAS1057,269.1589,Plant height,242914,2011B,Agua Fria,120.4
162,SEEDGWAS1058,241.8891,Plant height,242916,2012A,Iguala,100.9
163,SEEDGWAS1058,242.083,Plant height,242916,2011B,Agua Fria,120.4
164,SEEDGWAS1058,240.656,Plant height,242916,2012A,Agua Fria,120.4
165,SEEDGWAS1059,247.8929,Plant height,242916,2012A,Iguala,100.9
166,SEEDGWAS1059,254.6121,Plant height,242916,2011B,Agua Fria,120.4
167,SEEDGWAS1059,256.3143,Plant height,242916,2012A,Agua Fria,120.4
168,SEEDGWAS1059,331.1889,Plant height,242916,2011B,Guadalupe-Victoria,96.8
169,SEEDGWAS1059,273.2174,Plant height,242916,2012B,Guadalupe-Victoria,96.8
170,SEEDGWAS106,255.3449,Plant height,242913,2012A,Agua Fria,120.4
171,SEEDGWAS106,358.7514,Plant height,242913,2011B,Guadalupe-Victoria,96.8
172,SEEDGWAS106,207.8886,Plant height,242913,2011B ,Torreon,22.1
173,SEEDGWAS106,290.5756,Plant height,242913,2011B,Agua Fria,120.4
174,SEEDGWAS106,277.4,Plant height,242913,2012B,Guadalupe-Victoria,96.8
175,SEEDGWAS1060,265.4387,Plant height,242916,2011B,Agua Fria,120.4
176,SEEDGWAS1060,224.9233,Plant height,242916,2011B ,Torreon,22.1
177,SEEDGWAS1060,236.515,Plant height,242916,2012A,Agua Fria,120.4
178,SEEDGWAS1060,237.7219,Plant height,242916,2012A,Iguala,100.9
179,SEEDGWAS1061,224.1158,Plant height,242916,2012A,Agua Fria,120.4
180,SEEDGWAS1061,237.3474,Plant height,242916,2012A,Iguala,100.9
181,SEEDGWAS1061,261.0047,Plant height,242916,2011B,Agua Fria,120.4
182,SEEDGWAS1062,258.4332,Plant height,242913,2012A,Iguala,100.9
183,SEEDGWAS1062,270.1544,Plant height,242913,2012B,Guadalupe-Victoria,96.8
184,SEEDGWAS1062,265.4196,Plant height,242913,2011B,Agua Fria,120.4
185,SEEDGWAS1062,252.3288,Plant height,242913,2012A,Agua Fria,120.4
186,SEEDGWAS1063,256.7152,Plant height,242916,2012A,Agua Fria,120.4
187,SEEDGWAS1063,240.1577,Plant height,242916,2012A,Iguala,100.9
188,SEEDGWAS1063,260.4568,Plant height,242916,2011B,Agua Fria,120.4
189,SEEDGWAS1064,257.0328,Plant height,242916,2012A,Agua Fria,120.4
190,SEEDGWAS1064,250.7482,Plant height,242916,2011B,Agua Fria,120.4
191,SEEDGWAS1064,242.0198,Plant height,242916,2012A,Iguala,100.9
192,SEEDGWAS1065,239.5336,Plant height,242916,2011B ,Torreon,22.1
193,SEEDGWAS1065,272.4345,Plant height,242916,2011B,Agua Fria,120.4
194,SEEDGWAS1065,254.8672,Plant height,242916,2011B,Celaya,63.3
195,SEEDGWAS1065,261.6017,Plant height,242916,2012A,Agua Fria,120.4
196,SEEDGWAS1066,276.4317,Plant height,242916,2012B,Guadalupe-Victoria,96.8
197,SEEDGWAS1066,260.5465,Plant height,242916,2012A,Agua Fria,120.4
198,SEEDGWAS1066,334.1498,Plant height,242916,2011B,Guadalupe-Victoria,96.8
199,SEEDGWAS1066,250.8898,Plant height,242916,2012A,Iguala,100.9
200,SEEDGWAS1066,276.0594,Plant height,242916,2011B,Agua Fria,120.4
201,SEEDGWAS1068,276.0353,Plant height,242919,2012A,Iguala,100.9
202,SEEDGWAS1068,335.8462,Plant height,242919,2011B,Guadalupe-Victoria,96.8
203,SEEDGWAS1068,265.72,Plant height,242919,2012A,Agua Fria,120.4
204,SEEDGWAS1068,257.6611,Plant height,242919,2011B,Agua Fria,120.4
205,SEEDGWAS1069,283.0627,Plant height,242913,2011B,Agua Fria,120.4
206,SEEDGWAS1069,292.9289,Plant height,242913,2012B,Guadalupe-Victoria,96.8
207,SEEDGWAS1069,266.0975,Plant height,242913,2012A,Agua Fria,120.4
208,SEEDGWAS1069,251.6027,Plant height,242913,2012A,Iguala,100.9
209,SEEDGWAS107,268.9714,Plant height,242919,2011B,Agua Fria,120.4
210,SEEDGWAS107,274.1197,Plant height,242919,2012A,Agua Fria,120.4
211,SEEDGWAS1070,247.8751,Plant height,242916,2011B,Agua Fria,120.4
212,SEEDGWAS1070,252.9129,Plant height,242916,2012A,Iguala,100.9
213,SEEDGWAS1070,234.9059,Plant height,242916,2012A,Agua Fria,120.4
214,SEEDGWAS1073,254.9863,Plant height,242914,2012A,Agua Fria,120.4
215,SEEDGWAS1073,226.0183,Plant height,242914,2011B ,Torreon,22.1
216,SEEDGWAS1073,254.9543,Plant height,242914,2011B,Celaya,63.3
217,SEEDGWAS1074,250.6635,Plant height,242914,2011B,Agua Fria,120.4
218,SEEDGWAS1074,261.3479,Plant height,242914,2012A,Agua Fria,120.4
219,SEEDGWAS1074,259.1831,Plant height,242914,2012A,Iguala,100.9
220,SEEDGWAS1075,253.3158,Plant height,242914,2012A,Iguala,100.9
221,SEEDGWAS1075,257.8967,Plant height,242914,2012A,Agua Fria,120.4
222,SEEDGWAS1075,343.4781,Plant height,242914,2011B,Guadalupe-Victoria,96.8
223,SEEDGWAS1075,264.3705,Plant height,242914,2011B,Agua Fria,120.4
224,SEEDGWAS1075,266.9685,Plant height,242914,2012B,Guadalupe-Victoria,96.8
225,SEEDGWAS1077,243.8251,Plant height,242914,2011B,Celaya,63.3
226,SEEDGWAS1077,259.9007,Plant height,242914,2012A,Agua Fria,120.4
227,SEEDGWAS1077,223.4096,Plant height,242914,2011B ,Torreon,22.1
228,SEEDGWAS1077,272.532,Plant height,242914,2011B,Agua Fria,120.4
229,SEEDGWAS1078,277.1707,Plant height,242913,2012A,Agua Fria,120.4
230,SEEDGWAS1078,275.478,Plant height,242913,2012B,Guadalupe-Victoria,96.8
