Accession,Latitude,Longitude,Species
HOR10761,5.63,38.23,Barley
HOR6360,7.47,36.88,Barley
HOR5702,7.67,36.83,Barley
HOR10350,8.15,36.47,Barley
HOR14153,12.04,18.79,Barley
HOR14279,14.7,39.43,Barley
FT414,15.36,44.21,Barley
BCC167,22.67,57.33,Barley
BCC168,23.17,57.67,Barley
HOR2766,24.05,23.31,Barley
BCC185,24.63,46.72,Barley
BCC169,25.67,57.25,Barley
HOR10103,25.92,13.92,Barley
HOR10152,26.23,14.88,Barley
HOR10280,26.8,13.53,Barley
HOR3938,28.21,-16.78,Barley
BCC21,28.31,30.71,Barley
BCC761,28.36,83.74,Barley
SBCC144,28.8,-17.81,Barley
FT561,29.25,80.92,Barley
HOR2462,29.43,94.45,Barley
FT657,29.61,52.52,Barley
FT388,29.65,91.1,Barley
FT390,29.65,91.1,Barley
HOR2458,29.65,91.1,Barley
HOR2465,29.65,91.1,Barley
FT286,30.07,50.83,Barley
HOR10130,30.13,9.5,Barley
100-HS8,30.5,-7.5,Barley
93-HS1,30.5,-7.5,Barley
94-HS2,30.5,-7.5,Barley
95-HS3,30.5,-7.5,Barley
HOR8455,30.5,47.82,Barley
HOR2792,30.52,50.85,Barley
BCC51,30.57,34.48,Barley
FT144,30.57,34.68,Barley
FT572,30.67,35.63,Barley
BCC54,30.82,32.52,Barley
FT147,30.85,34.74,Barley
FT042,30.89,34.63,Barley
FT389,30.97,101.15,Barley
FT519,31,112,Barley
HOR13416,31.05,-8.83,Barley
HOR11403,31.1,77.17,Barley
HOR8658,31.19,29.9,Barley
BCC105,31.28,35.83,Barley
FT064,31.35,35.12,Barley
FT380,31.35,27.23,Barley
BCC126,31.37,-5.79,Barley
FT037,31.4,34.47,Barley
HOR154,31.42,73.08,Barley
FT075,31.44,34.89,Barley
FT340,31.5,34.7,Barley
HOR2800,31.53,48.82,Barley
FT067,31.54,34.89,Barley
FT045,31.67,35.44,Barley
FT643,31.67,35.44,Barley
FT248,31.68,48.58,Barley
FT031,31.7,34.59,Barley
HOR11317,31.72,35.19,Barley
FT549,31.72,35.8,Barley
FT553,31.77,35.23,Barley
FT218,31.77,35.11,Barley
FT226,31.78,35.22,Barley
FT011,31.83,35.3,Barley
FT627,32.02,35.9,Barley
BCC131,32.05,-3.05,Barley
FT018,32.07,35.4,Barley
FT626,32.1,35.72,Barley
BCC103,32.12,36.27,Barley
FT616,32.19,48.26,Barley
FT272,32.22,36.05,Barley
B1K-03-07-1,32.42,34.88,Barley
FT613,32.55,49.83,Barley
FT276,32.58,35.67,Barley
FT628,32.6,36.38,Barley
HOR4469,32.69,36.03,Barley
FT393,32.74,35.45,Barley
HOR9888,32.76,22.64,Barley
HOR9827,32.77,13.98,Barley
FT056,32.78,35.66,Barley
FT222,32.97,35.42,Barley
FT338,33,35.42,Barley
FT172,33.23,35.73,Barley
FT175,33.25,35.65,Barley
FT219,33.29,35.76,Barley
FT630,33.47,35.87,Barley
HOR2808,33.57,50.85,Barley
FT270,33.65,36.84,Barley
FT332,33.82,48.18,Barley
BCC195,33.82,36.54,Barley
FT671,33.83,35.92,Barley
BCC107,33.93,36.1,Barley
FT631,33.93,36.1,Barley
FT359,34.02,-6.83,Barley
BCC42,34.22,-1.25,Barley
BCC108,34.33,35.73,Barley
BCC110,34.43,36.05,Barley
FT878,34.44,46.02,Barley
FT568,34.5,63.18,Barley
FT879,34.53,45.94,Barley
HOR2829,34.58,48.82,Barley
BCC003,34.63,65.75,Barley
HOR2351,34.77,113.65,Barley
HOR10627,34.83,42,Barley
HOR1431,34.86,71.14,Barley
FT363,34.98,34.02,Barley
HOR1758,35,71.15,Barley
HOR1804,35,71.15,Barley
FT590,35.01,36.7,Barley
FT589,35.03,37.01,Barley
FT268,35.17,38.88,Barley
FT880,35.27,47.03,Barley
FT376,35.28,62.34,Barley
FT658,35.37,43.2,Barley
FT611,35.5,51.25,Barley
HOR2785,35.6,51.87,Barley
FT512,35.61,35.82,Barley
FT279,35.75,69,Barley
HOR1463,35.91,71.31,Barley
HOR1707,35.91,71.52,Barley
FT333,35.98,59.48,Barley
FT604,36.08,43.17,Barley
BCC197,36.12,36.46,Barley
HOR10609,36.17,43.26,Barley
FT733,36.26,36.47,Barley
HOR1842,36.27,72.38,Barley
BCC182,36.3,73.37,Barley
FT595,36.33,42.17,Barley
BCC192,36.38,38.96,Barley
FT507,36.38,43.42,Barley
FT229,36.4,44.15,Barley
FT361,36.4,28.17,Barley
FT232,36.42,41.65,Barley
HOR10610,36.44,43.26,Barley
HOR4150,36.7,3.22,Barley
HOR12830,36.7,38.09,Barley
FT660,36.75,45.7,Barley
FT262,36.78,37.28,Barley
BCC190,36.83,40.07,Barley
FT747,36.87,36.95,Barley
FT754,36.95,40,Barley
FT584,36.97,40.5,Barley
FT746,36.98,36.73,Barley
FT670,36.99,36.93,Barley
FT525,37.03,37.99,Barley
