"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19"
"1","FT218",31.77,35.11,0.0489510404256788,0.00441115181940903,0.00430939896255476,0.0277005426617544,0.0349743799980171,0.00761532044166638,0.0111233664829209,0.00699672568093255,0.00923223389979037,0.0112875196392687,0.00622871850764964,0.00376853743386551,0.00436816397824521,0.00478404923597592,0.00522690037541583
"2","FT462",37.78,39.78,0.0797223919337825,0.0172029656309716,0.04354905481091,0.01699179971121,0.0112753836974758,0.0110694188289351,0.0134518542125716,0.0104827475706308,0.0139129383898306,0.0143312397444113,0.00931190208754129,0.0118612846878157,0.0103065498504724,0.00907056898968367,0.012147389803698
"3","FT473",37.66,37.79,0.0758673565271899,0.0146231751963436,0.041394088412112,0.0207448262989496,0.0181179080942108,0.00869178659541966,0.0118449683761929,0.00798503264449504,0.0151551067754264,0.0161502140199795,0.0116841057298837,0.012950174451511,0.0104065376032397,0.0168203454743784,0.0102669435447737
"4","FT730",37.33,37.27,0.0758673565271899,0.0146231751963436,0.041394088412112,0.0207448262989496,0.0181179080942108,0.00869178659541966,0.0118449683761929,0.00798503264449504,0.0151551067754264,0.0161502140199795,0.0116841057298837,0.012950174451511,0.0104065376032397,0.0168203454743784,0.0102669435447737
"5","HOR4724",40.18,44.52,0.0573388945766995,0.0107850951748293,0.0076925313759113,0.0132528702041705,0.00582420640871623,0.00617743633557725,0.0100973456415958,0.00681343790201219,0.00393564563037949,0.00662157629696324,0.00694378399077638,0.00804908365986543,0.00771172789963396,0.00475853485472638,0.00331486781734867
"6","HOR3950",47.01,13.17,0.0424628330383087,0.00573118226398052,0.00411293796008126,0.0067255347668731,0.00791695417018252,0.0023251600004838,0.00741984555638085,0.00553309793461255,0.0063826343648251,0.0113739746691605,0.0047221992375418,0.0029037404417179,0.00264567909690423,0.00462278558831407,0.00407545616022254
"7","HOR1707",35.91,71.52,0.0637613455091234,0.0102773866401305,0.0124062768464777,0.0110900790105416,0.00679429713127444,0.0195682964026362,0.0116313825371186,0.0096703144136658,0.00919582189519645,0.00909632236406765,0.0102261299751238,0.00867826092037562,0.0138908218614073,0.00904526296457818,0.00948946795751753
"8","HOR8658",31.19,29.9,0.0414941379599171,0.0111451652655818,0.00248249730290127,0.00376205584414331,0.00511858263239242,0.00290034503829546,0.00704188568734772,0.0028721607919279,0.00793165560136416,0.00527401799978352,0.00417271607942625,0.00390631653775999,0.00167817159898391,0.00378770857160228,0.00438115498201831
"9","HOR9919",45.43,6.31,0.0313792131352535,0.007468050924195,0.00732302909673134,0.00727387850829134,0.0204034056124358,0.00514314198993218,0.00919122214783727,0.0120662468783299,0.00746650525710777,0.0138458265255658,0.00504817725430681,0.00975340806811486,0.00732430457190278,0.00766668177310492,0.00573108243973335
"10","HOR354",47.98,9.12,0.0453539659153534,0.038541660965259,0.00472170677628845,0.0433226808738576,0.00606430992185901,0.00196235243879273,0.00561354424158886,0.00378225530369645,0.00314193111377274,0.0024107491753486,0.0032685316406133,0.00313610835401028,0.00459615138144089,0.00416260901370257,0.0052894742745278
"11","HOR10610",36.44,43.26,0.0802698408692908,0.0131063058811964,0.0183690332654668,0.00836371679751585,0.0170853315091637,0.00836752754203367,0.0147531880959144,0.0151556846800602,0.00954226553446868,0.0138224564320575,0.0161514088874521,0.0133982796330792,0.0109346024858834,0.00523182381191112,0.0118625926686342
"12","HOR9607",42.3,43.35,0.0492879468872076,0.00851187776143109,0.0102419250524907,0.0113436720132872,0.00888975402237463,0.00750763522954947,0.0163164666646228,0.0145168728852432,0.00864289323947552,0.0099120187345531,0.00902715794358451,0.0081920149276546,0.00739415275278015,0.00230503299809331,0.0115741363044039
"13","HOR10761",5.63,38.23,0.0454431246173183,0.0384275183917491,0.0184533797641451,0.0136055067785019,0.0321411213699544,0.0464237028481676,0.0106475681302732,0.0147278706667998,0.017652236290001,0.0132639017177169,0.0103726089234354,0.0087858049519979,0.0122731148836407,0.0469874857934296,0.0173217149073864
"14","HOR937",39.07,21.82,0.0299140159875557,0.0149104456072705,0.0061195455051836,0.0100714006965928,0.0297717770968893,0.0158388454271516,0.0128995661649509,0.0046606067863991,0.0179851683302126,0.0119890145750032,0.01782118545475,0.00974560467307717,0.00720064648889437,0.0113041710183052,0.0155833839420765
"15","HOR2785",35.6,51.87,0.0697376252260089,0.0132731464506448,0.0110182380330369,0.0101683788279984,0.0102978685940842,0.00824534471375403,0.00578473760015316,0.0114437283760824,0.00924869698294137,0.0179993063845861,0.0138609454801948,0.0077580944230495,0.0264669244023107,0.0100110250350194,0.0131237830877256
"16","HOR2792",30.52,50.85,0.059879200740869,0.0218106187167846,0.00933590573274188,0.0352419130379884,0.030132865861408,0.0146335409136347,0.0124039485671857,0.0203769086270827,0.0149741013462217,0.0367457039095505,0.0262897880089464,0.0192870818977763,0.0277429733717502,0.0156559805542411,0.0271437180810233
"17","HOR2808",33.57,50.85,0.0719357519064566,0.0186150397968685,0.00803870927341356,0.0152489230319063,0.0103384468101571,0.0141574668838449,0.0150643874876748,0.0126824680571406,0.00829235383404722,0.022669819931813,0.00842127701112178,0.0160393007631405,0.0234611531591081,0.0127322732118137,0.0222422996585392
"18","HOR2867",37.63,58.98,0.0780257452007522,0.0169627401663658,0.0168650515715576,0.0153540895006434,0.00992454210192922,0.015694153852461,0.00602918804824606,0.0243711677513219,0.00395858472715638,0.0197748127130703,0.0093120872900844,0.00704740911660043,0.0206307789824412,0.0096999098388512,0.022792010727256
"19","HOR9827",32.77,13.98,0.0257769856690068,0.011387424742271,0.0182670157433977,0.0297093057736985,0.0253521659292137,0.00274557021878239,0.00601120933401976,0.0253766779204003,0.00838634351759784,0.0131948643776221,0.0161200059775452,0.0102533603157054,0.0128570417487936,0.0308161102054041,0.00900240407307194
"20","HOR8455",30.5,47.82,0.0708398128516907,0.0208220550196722,0.0563140309685112,0.0286932262273668,0.0289969422740576,0.034268090498514,0.0515148036497984,0.0401970389860104,0.054771704668527,0.0419227233525772,0.0568069561881811,0.0327914204591931,0.0305063968166285,0.0252695375599218,0.0351472073353058
"21","HOR10609",36.17,43.26,0.0802698408692908,0.0131063058811964,0.0183690332654668,0.00836371679751585,0.0170853315091637,0.00836752754203367,0.0147531880959144,0.0151556846800602,0.00954226553446868,0.0138224564320575,0.0161514088874521,0.0133982796330792,0.0109346024858834,0.00523182381191112,0.0118625926686342
"22","HOR10782",41.9,13.88,0.0273040587314646,0.0150074986328521,0.00619108456007084,0.00558369850746877,0.00585460752984357,0.00858588738255408,0.00868271068337383,0.00552327338647529,0.00565141450149236,0.0100017143095519,0.00735261845589295,0.00524309957167638,0.00799192113223453,0.00831591709325896,0.0056258521236724
"23","HOR1758",35,71.15,0.0641262496201746,0.00954023176229753,0.00580173956361468,0.00930784664170841,0.00824206935934141,0.00677681730985917,0.0137986442006367,0.00877177361221727,0.0107215910618576,0.00396843572916701,0.00763348083142643,0.00890279845596977,0.00603601295203022,0.00713564054037629,0.00371558813360657
"24","HOR4150",36.7,3.22,0.0279489248066841,0.0138514733080602,0.00618871383033817,0.0265733022299467,0.0217695012139683,0.00986295234205012,0.0214814369866165,0.0111055015691114,0.0226597283257918,0.0100036547130473,0.031140325535228,0.0304919067189091,0.0237922071136857,0.0268794029538844,0.0309324373163672
