"","Accession","Latitude","Longitude","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"1","FT218",31.77,35.11,0.0415249860040425,0.0403868361606833,0.0395037785036205,0.0308104239240404,0.0258610613062993,0.0200760380702151,0.0162392816041571,0.0114789310266648,0.00952016317787444,0.0114209322593938,0.0101759441694611,0.00686989389271744,0.0043069700206044,0.00644850113146772,0.00375674794418494,0.00734397719395041
"2","FT462",37.78,39.78,0.0556747093460866,0.053178874534584,0.0548051798007379,0.0429014310499692,0.0387794731552112,0.0253790794340974,0.0314262779629322,0.0403748745968917,0.0177288530831641,0.03795086141655,0.0143857397666331,0.0275040650126133,0.00965273863347757,0.00719004865566533,0.00833302700503975,0.00777884210263897
"3","FT473",37.66,37.79,0.0511884892590748,0.0479262143873521,0.0465585118369493,0.0397984226195489,0.0363773285672269,0.0247575977182891,0.0178832972298581,0.0365715273953394,0.0166856775187391,0.0271591561881441,0.017902406369622,0.0104573996355877,0.0122490351222801,0.0145889391178914,0.00656171724726522,0.00827754676804201
"4","FT730",37.33,37.27,0.0511884892590748,0.0479262143873521,0.0465585118369493,0.0397984226195489,0.0363773285672269,0.0247575977182891,0.0178832972298581,0.0365715273953394,0.0166856775187391,0.0271591561881441,0.017902406369622,0.0104573996355877,0.0122490351222801,0.0145889391178914,0.00656171724726522,0.00827754676804201
"5","HOR4724",40.18,44.52,0.0429346502447332,0.0458415904180804,0.0404439379831187,0.0333922265535425,0.0269801177468803,0.0195978253602927,0.0153357532698001,0.0132209584617244,0.0125852977541573,0.00680968404951843,0.00792864581243678,0.00698062951629979,0.00957868848266048,0.00709747271514864,0.00393239887141065,0.00827422546324204
"6","HOR3950",47.01,13.17,0.0373183034243729,0.0306023626381742,0.0302764204466247,0.0266979038440421,0.0260985844012794,0.0159933540301177,0.0149385777054452,0.0110886213691713,0.00714608752059722,0.0142405510456667,0.0164661585016172,0.00767144072572094,0.0139797315216735,0.0149681608287159,0.00739558729023606,0.0086941753800007
"7","HOR1707",35.91,71.52,0.0409530889348602,0.0436236690936427,0.0450838816756818,0.0378940446632722,0.0326107391319722,0.0204349075631315,0.0170636640361851,0.0116931234255496,0.013963872849065,0.00902614957278885,0.00736474998245725,0.00840015049364844,0.0104449901495972,0.0111218511668395,0.0104472817075854,0.00892982727361603
"8","HOR8658",31.19,29.9,0.0385729294666494,0.0421527880001621,0.0338918477129752,0.0279111972861582,0.0261020657343627,0.022409583725333,0.0204193953803043,0.0182482956082609,0.012115206347626,0.0118949716994001,0.00818088759945659,0.00620461267569226,0.00625434779246523,0.00615421521640724,0.00521244632843128,0.0065290976997598
"9","HOR9919",45.43,6.31,0.025188802853942,0.0235566143383426,0.0240446397883832,0.0217416103395506,0.0162242203735473,0.0160805187311526,0.0137360332808005,0.0203203592737003,0.0216015068827137,0.0127573534610894,0.0132275968095206,0.00882988777430349,0.019519573127878,0.0144613688183746,0.010733107748529,0.013871472989012
"10","HOR354",47.98,9.12,0.0366386387903986,0.0303636008896747,0.0298429336548944,0.0250023991467545,0.0253800620275551,0.0234550983014361,0.0149124708441615,0.00921474761714866,0.00614287324576523,0.0118449186707747,0.0113132054653821,0.00773135333237631,0.0118222255021486,0.0114858092061706,0.00860413631042523,0.00845899547485695
"11","HOR10610",36.44,43.26,0.0561865218121394,0.0555604061145973,0.0512008605170851,0.0480777121702239,0.0469259442309069,0.0305197808893712,0.0226927746868821,0.0300829827414195,0.0301232397717567,0.0211157637093537,0.0129688975835043,0.0274608153936425,0.0194647463118073,0.0107131155411008,0.00991975001986448,0.019484733749746
"12","HOR9607",42.3,43.35,0.0397780061569969,0.0337891815851919,0.0293471252642642,0.0248947010794575,0.0176681578819895,0.0173711660150188,0.0174385047890044,0.0253911050988096,0.0159337279957996,0.0163945775951593,0.00769707980396451,0.0188316933593192,0.00955256120703704,0.0156153098080915,0.00633784340061656,0.0173872042232322
"13","HOR10761",5.63,38.23,0.021014297767288,0.0232192972212269,0.0321633774249078,0.0195155484578258,0.0204209597733577,0.0220889397895261,0.0239276586133169,0.0231685506923901,0.0215181670183319,0.0194237315767425,0.0353700322362731,0.0218234413442025,0.0101998439846867,0.0080180420713869,0.019289640183387,0.0151270775386503
"14","HOR937",39.07,21.82,0.0295059124353769,0.0283196052696456,0.0251167759534932,0.0237883198387413,0.0182708907719874,0.0186743772043404,0.0234219012004753,0.0340010830300447,0.0425484173780243,0.048284927102675,0.0105984492766989,0.00620425054219938,0.0100953828169052,0.00712468550926974,0.0195533834993192,0.0184797629670596
"15","HOR2785",35.6,51.87,0.0493193039380484,0.0504771011835765,0.0464488425815701,0.039001297133446,0.0328768399399832,0.0278124018120982,0.0193593442769407,0.00989101479779866,0.0277964469228352,0.00662752498304918,0.00998321917478109,0.0200334669533663,0.00998468461022877,0.00823925670759831,0.00688184650763091,0.0118315760416234
"16","HOR2792",30.52,50.85,0.0478888574098997,0.0446248668037639,0.0409113270889342,0.0361577647842251,0.0326626413925801,0.0289362727021194,0.0219495787807961,0.0264506320616943,0.0508217923606381,0.0225681983763354,0.0230692649467308,0.0313298595531381,0.021094575751035,0.0189939212468739,0.0203627465093055,0.036293084873663
"17","HOR2808",33.57,50.85,0.0530125091613732,0.0543496897024007,0.0501598385396917,0.0419782233667641,0.0388236790955458,0.0337020783736329,0.0265710270881329,0.0299282042111944,0.0421907369349616,0.0340571029644373,0.023305399639425,0.0242447963604276,0.010680414312979,0.00789313505124974,0.00887908959452867,0.00643850285148508
"18","HOR2867",37.63,58.98,0.05168069634596,0.0517067959556977,0.048287369141356,0.0443258225611167,0.0335412662235821,0.0269190999456358,0.020400873164205,0.0114116635621561,0.0262277972823847,0.00503619735285888,0.0244062230753781,0.00772675102331592,0.00895980183264509,0.00481517033381814,0.00389066273026213,0.00447041737045677
"19","HOR9827",32.77,13.98,0.0336853366957796,0.0431283849116189,0.037733924309103,0.0340702319906291,0.0277084420549795,0.0276554310043951,0.0246657830795349,0.0190243144278843,0.00789103634793602,0.0377076584198041,0.0196156872535283,0.008077182878499,0.00868807169623183,0.0209631082862,0.00802076540131786,0.00707458861623518
"20","HOR8455",30.5,47.82,0.0565851193969331,0.0512970149556948,0.0556384416703814,0.0459342745740769,0.0467760072676817,0.0377194587056466,0.038565209053732,0.0535353756972061,0.0280301036119983,0.0377900463586064,0.0592709790438326,0.0293363750468338,0.0275358247895916,0.0354990085942711,0.0427642710665318,0.0474221253523289
"21","HOR10609",36.17,43.26,0.0561865218121394,0.0555604061145973,0.0512008605170851,0.0480777121702239,0.0469259442309069,0.0305197808893712,0.0226927746868821,0.0300829827414195,0.0301232397717567,0.0211157637093537,0.0129688975835043,0.0274608153936425,0.0194647463118073,0.0107131155411008,0.00991975001986448,0.019484733749746
"22","HOR10782",41.9,13.88,0.0307989092602369,0.0243261861414053,0.0319234522955745,0.028500515993165,0.0284202226825192,0.0360978457412011,0.0233796980621648,0.0283972432294626,0.0214594020549866,0.0168670100880405,0.0107765668953698,0.0195688674807107,0.01777724248508,0.0189294686650945,0.023139033654288,0.0329224478120175
"23","HOR1758",35,71.15,0.0437933817175375,0.0459974820285,0.0411889361075946,0.0377811148482785,0.0263036415782964,0.0179423777745451,0.0137051886243829,0.0100822532333586,0.00875893838234611,0.0100766781717277,0.00751392769327784,0.00937524149415734,0.00665974893820225,0.00438739265590437,0.00497112997263275,0.00666758339239123
"24","HOR4150",36.7,3.22,0.0374681803114089,0.0372827031280988,0.036956599153644,0.0362337105527623,0.0253675119251235,0.0191617927035585,0.0231646210048508,0.0134674872331756,0.0137700713835061,0.035806231865545,0.0107637448717565,0.0145600749879187,0.0217258099136853,0.0281765671182522,0.0109797497186576,0.0194951998516348
"25","HOR2854",38.65,46.78,0.0416826231118243,0.0452217848644852,0.034542578093716,0.0267205443837998,0.0230171432100594,0.0178467412755356,0.015902470932577,0.0142128099568636,0.016987196348051,0.0116740471599227,0.0172847890480109,0.0092756030898465,0.0121105271422382,0.00595900258587282,0.0162982929045698,0.0110298553771884
