"","Accession","Latitude","Longitude","offset_1","offset_2","offset_3","offset_4","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"1","IRGC_10430",23.6,120.653889,0.0127636762763534,0.0170053922945462,0.0174346671745364,0.0138396156770056,0.00689466520763427,0.00557778116113021,0.0176217128132534,0.0128666565845527,0.0135468397115403,0.0144196580460307,0.0204626958739319,0.0117304856368248,0.0133176542288222,0.0123152772309614,0.00831040008996747,0.00841029418596983,0.0230864534983633,0.00515128872206047,0.0142067579396566,0.011849126209081,0.00551504961655044
"2","IRGC_117279",23.6,120.653889,0.0127636762763534,0.0170053922945462,0.0174346671745364,0.0138396156770056,0.00689466520763427,0.00557778116113021,0.0176217128132534,0.0128666565845527,0.0135468397115403,0.0144196580460307,0.0204626958739319,0.0117304856368248,0.0133176542288222,0.0123152772309614,0.00831040008996747,0.00841029418596983,0.0230864534983633,0.00515128872206047,0.0142067579396566,0.011849126209081,0.00551504961655044
"3","IRGC_12731",34.783889,134.375278,0.00909846992921106,0.0057967637058754,0.00540836521528341,0.00477205238183216,0.00567255663304888,0.0139062660448185,0.00411803299479,0.00484272170789339,0.00677975749210843,0.00731496433715524,0.00509192170732602,0.0225054948390674,0.00485389191387033,0.00409056745057918,0.00784325226670252,0.0265390625304206,0.00277869364743419,0.00753485373070756,0.0224011823512276,0.0107429590838911,0.0224138046378568
"4","IRGC_14413",-4.69,119.630278,0.0102468438625638,0.00524780566885973,0.00710995564072995,0.0053413769764418,0.00352006158558972,0.0120324818722213,0.0028281451574007,0.0050474069854349,0.00314347729755052,0.00395349256152061,0.00855729007587899,0.00481819806836722,0.00644914080579955,0.00450773320273984,0.00661108858309278,0.0120465172925973,0.00356483305219789,0.00349258513893538,0.00979418164120595,0.00418135919306833,0.00326120237299114
"5","IRGC_14779",34.783889,134.375278,0.0102169137096158,0.00748335222719951,0.00531372544860018,0.00662652610512087,0.00729792840878923,0.0179393263317701,0.0061776704806669,0.00699847630698681,0.00791931608946148,0.00857613242975848,0.0060130782027744,0.0230780257800656,0.0055605821975836,0.00588367465292021,0.0088993448362398,0.0266017090415801,0.00462177874659702,0.00872896219561892,0.0229425694976499,0.0117505368813867,0.0224360739188976
"6","IRGC_23364",14.065,121.180833,0.0148263173517851,0.0154913938412069,0.0102434856520834,0.00202968422667151,0.0078126709870811,0.00176811910456558,0.00946244634230859,0.0156659761830421,0.00344450030265094,0.0071264029794988,0.00945547490824847,0.0138501960467803,0.0112503711663179,0.0103263383134399,0.0115356738813072,0.0113475100604607,0.00155614535182794,0.0152457142597717,0.016305170798666,0.014365880713896,0.0129591286402103
"7","IRGC_25897",24.25,90,0.0222419054552696,0.0344363606090049,0.0256356145469215,0.00893010950574571,0.00604649120127708,0.00667623023609769,0.00311233300231588,0.0224777076505138,0.027912468527684,0.00568332781773868,0.0130950985488087,0.0303366864801214,0.0198172118529738,0.0335315179952007,0.00891854445340678,0.0259959650134606,0.0317164192785294,0.00885888678902604,0.0283663465114828,0.00589949719688997,0.00735310904950883
"8","IRGC_27129",-2.690556,119.025833,0.00139147958067224,0.00139019391544876,0.00484415970803508,0.00436092341815918,0.00199755002707853,0.00479861553745326,0.00362615381043331,0.000897699471429438,0.00415388313469371,0.00224947332415085,0.00918336831063583,0.00358727498887812,0.00772313115440702,0.00273184766074076,0.0202186467319425,0.00623615807310836,0.0033069003671491,0.00215922085580729,0.00558066880359081,0.00916171242340728,0.00265169487258615
"9","IRGC_328",9.446111,118.392778,0.00364202079431775,0.0106108579087836,0.0109055510482287,0.0155819452295507,0.00402612108928723,0.0106991983872754,0.0147863541310369,0.0101561642932739,0.0127385613742067,0.000904898804585589,0.0135047467977847,0.0110336390006909,0.0153114808299069,0.0106337013176885,0.00651562616797914,0.00927573222171139,0.00154832472489276,0.0157587840080485,0.00964475089380848,0.0160572258202031,0.00224394369094675
"10","IRGC_33130",18.683611,96.683056,0.00566554804851957,0.00732005158970704,0.0239152555238638,0.009755059406249,0.0138180228617743,0.0267638280200062,0.0128060817891009,0.0072164699713052,0.0134689052023031,0.0121753633590126,0.0126376812966508,0.0041198225575473,0.0125537118590671,0.0201167861950292,0.0127932200229539,0.00462517558586412,0.00791187109996215,0.00573828545556487,0.0157473138658757,0.0122951227907746,0.0127129023314855
