"","x"
"1","morex_contig_140613.1750_A"
"2","morex_contig_47354.3010_A"
"3","morex_contig_39700.8559_C"
"4","morex_contig_136635.7723_C"
"5","morex_contig_1760322.669_C"
"6","morex_contig_51530.3642_T"
"7","morex_contig_240206.2697_C"
"8","morex_contig_39358.4930_T"
"9","morex_contig_159235.1847_T"
"10","morex_contig_1569586.728_C"
"11","morex_contig_39420.5423_G"
"12","morex_contig_53987.7042_T"
"13","morex_contig_45428.2137_C"
"14","morex_contig_1560299.1268_C"
"15","morex_contig_2056384.651_T"
"16","morex_contig_160567.7881_G"
"17","morex_contig_64109.6129_G"
"18","morex_contig_60333.6163_T"
"19","morex_contig_45968.344_A"
"20","morex_contig_252657.1753_G"
"21","morex_contig_1572007.610_G"
"22","morex_contig_1560506.1360_A"
"23","morex_contig_134605.1668_T"
"24","morex_contig_1559222.1139_T"
"25","morex_contig_1585270.328_G"
"26","morex_contig_47197.2435_G"
"27","morex_contig_2550369.1713_T"
"28","morex_contig_48967.1594_G"
"29","morex_contig_53215.2767_T"
"30","morex_contig_136341.2230_G"
"31","morex_contig_89166.302_T"
"32","morex_contig_44968.4095_A"
"33","morex_contig_7914.609_T"
"34","morex_contig_51923.2923_A"
"35","morex_contig_41665.5293_A"
"36","morex_contig_1569876.262_C"
"37","morex_contig_73100.467_C"
"38","morex_contig_159133.1624_C"
"39","morex_contig_77632.5608_C"
"40","morex_contig_38801.2015_C"
"41","morex_contig_63547.904_T"
"42","morex_contig_2549865.3743_A"
"43","morex_contig_275023.5721_C"
"44","morex_contig_1591185.1047_A"
"45","morex_contig_37160.340_T"
"46","morex_contig_66297.4302_T"
"47","morex_contig_14106.615_G"
"48","morex_contig_81812.3943_G"
"49","morex_contig_205133.3992_A"
"50","morex_contig_1559760.362_C"
"51","morex_contig_1566074.237_T"
"52","morex_contig_46732.8129_G"
"53","morex_contig_135812.1633_A"
"54","morex_contig_246378.1011_A"
"55","morex_contig_442194.1056_C"
"56","morex_contig_50361.3450_A"
"57","morex_contig_66530.10108_G"
"58","morex_contig_1577639.1259_A"
"59","morex_contig_139201.5823_G"
"60","morex_contig_47091.4612_C"
"61","morex_contig_1591906.422_G"
"62","morex_contig_40350.10168_C"
"63","morex_contig_43186.3405_G"
"64","morex_contig_136242.2705_T"
"65","morex_contig_188068.1006_T"
"66","morex_contig_41291.3310_A"
"67","morex_contig_6061.1721_A"
"68","morex_contig_37997.4889_C"
"69","morex_contig_46748.2584_A"
"70","morex_contig_38049.4165_C"
"71","morex_contig_39228.157_A"
"72","morex_contig_2549081.3738_A"
"73","morex_contig_101983.2401_G"
"74","morex_contig_273892.744_C"
"75","morex_contig_36783.1527_T"
"76","morex_contig_37914.3215_T"
"77","morex_contig_50226.348_T"
"78","morex_contig_7798.2592_G"
"79","morex_contig_45029.7186_G"
"80","morex_contig_39536.12384_A"
"81","morex_contig_1579090.2524_T"
"82","morex_contig_51244.149_A"
"83","morex_contig_65543.4719_C"
"84","morex_contig_86247.13718_C"
"85","morex_contig_75877.1920_T"
"86","morex_contig_46172.8254_T"
"87","morex_contig_135237.911_T"
"88","morex_contig_2547573.1986_C"
"89","morex_contig_1564788.7502_C"
"90","morex_contig_58792.1147_T"
"91","morex_contig_2552311.4188_T"
"92","morex_contig_37180.389_C"
"93","morex_contig_2547996.2983_A"
"94","morex_contig_1577598.1590_A"
"95","morex_contig_7624.1342_A"
"96","morex_contig_136686.2886_T"
"97","morex_contig_47116.8671_T"
"98","morex_contig_270277.1192_C"
"99","morex_contig_52173.2087_T"
"100","morex_contig_2549606.3883_C"
"101","morex_contig_7570.2931_G"
"102","morex_contig_6690.474_T"
"103","morex_contig_1559404.439_C"
"104","morex_contig_1564675.5433_A"
"105","morex_contig_275831.3231_C"
"106","morex_contig_50182.5085_C"
"107","morex_contig_61160.2701_G"
"108","morex_contig_66713.3818_A"
"109","morex_contig_1590591.420_A"
"110","morex_contig_135679.5459_G"
"111","morex_contig_1574415.1250_A"
"112","morex_contig_2546996.3473_T"
"113","morex_contig_135917.13751_A"
"114","morex_contig_1561673.2379_A"
"115","morex_contig_58376.4788_T"
"116","morex_contig_57148.10347_A"
"117","morex_contig_53360.2753_C"
"118","morex_contig_8005.1171_G"
"119","morex_contig_52706.1340_C"
"120","morex_contig_7430.927_A"
"121","morex_contig_2521331.175_A"
"122","morex_contig_2549926.3325_C"
"123","morex_contig_124597.409_C"
"124","morex_contig_157781.1156_A"
"125","morex_contig_50132.6360_A"
"126","morex_contig_2556880.77_T"
"127","morex_contig_41526.3671_C"
"128","morex_contig_1561483.3202_A"
"129","morex_contig_148130.214_C"
"130","morex_contig_38211.864_A"
"131","morex_contig_48490.1761_G"
"132","morex_contig_51529.1931_G"
"133","morex_contig_1568531.2390_G"
"134","morex_contig_1566210.2059_A"
"135","morex_contig_1559969.1262_C"
"136","morex_contig_86225.4447_G"
"137","morex_contig_50296.5903_A"
"138","morex_contig_49439.2850_T"
"139","morex_contig_1571169.1704_C"
"140","morex_contig_1564189.1374_A"
"141","morex_contig_1578159.952_T"
"142","morex_contig_46073.1956_A"
"143","morex_contig_90217.4287_A"
"144","morex_contig_1567301.977_T"
"145","morex_contig_6889.2252_A"
"146","morex_contig_87187.736_T"
"147","morex_contig_1593735.832_G"
"148","morex_contig_66977.2436_C"
"149","morex_contig_136119.727_T"
"150","morex_contig_1566907.2274_C"
"151","morex_contig_50284.7281_G"
"152","morex_contig_135851.11200_T"
"153","morex_contig_40277.3485_G"
"154","morex_contig_46536.3826_C"
"155","morex_contig_62015.1738_G"
"156","morex_contig_59155.4928_G"
"157","morex_contig_135361.3118_A"
"158","morex_contig_43291.4369_T"
"159","morex_contig_8192.791_G"
"160","morex_contig_43373.6895_A"
"161","morex_contig_160336.4838_G"
"162","morex_contig_135590.1366_A"
"163","morex_contig_2551748.3824_G"
"164","morex_contig_50318.7034_T"
"165","morex_contig_1573438.2371_G"
"166","morex_contig_1606412.4603_A"
"167","morex_contig_51348.1822_C"
"168","morex_contig_161250.1924_G"
"169","morex_contig_2547833.1246_C"
"170","morex_contig_114186.1888_A"
"171","morex_contig_278563.2248_T"
"172","morex_contig_168557.174_C"
"173","morex_contig_2549960.2603_G"
"174","morex_contig_2551646.1775_G"
"175","morex_contig_276113.3412_A"
"176","morex_contig_46083.8143_G"
"177","morex_contig_2548758.106_T"
"178","morex_contig_43958.5089_G"
"179","morex_contig_59207.1293_G"
"180","morex_contig_57305.2931_A"
"181","morex_contig_38455.2401_T"
"182","morex_contig_62979.1933_A"
"183","morex_contig_138219.5799_T"
"184","morex_contig_6416.3236_G"
"185","morex_contig_1587631.2269_A"
"186","morex_contig_134506.4608_T"
"187","morex_contig_38464.4228_A"
